Marca temporal;Dirección de correo electrónico;distrito_1;distrito_2;farmacias;hospitales;escuelas;supermercados;gimnasio;cinema;centros_comerciales;restaurantes;parques;tipo_vivienda;budget;tamaño;rooms;bathrooms;caracteristicas;edad;estudios;ingresos;air_conditioning;terrace;garden;parking;swimming_pool;booxroom
20/01/2025 21:57:48;gAAAAABntitLd6NczEfJQLbM_GtxoCuuEW_uGDS8uDElShCNkbPytGinUC1T3Q0UR_0pgIBxWmvTXpcGpS1R4ITnEnJK6lg0ozMFQN3znXgS-I_jPVDy5dQ=;La Barceloneta;El Raval;4.0;5.0;3.0;5.0;3.0;3.0;1.0;3.0;5.0;flat;125000;80.0;3.0;2;air_conditioning, parking, booxroom;40-45;Estudios universitarios / Graduate degree;20000 - 30000;True;False;False;True;False;True
20/01/2025 22:24:53;gAAAAABntitLaRezTwlIyFZVP1MRDhbmkXx_IF2zD-Oc9oQiUmwUeBQYVMV0qL2eWkzuslo91NrL-q9Nlgbt3DeidfoSQJ2OHj0e1p190Kntpgwwc0VCdE0=;La Barceloneta;Diagonal Mar i el Front Marítim del Poblenou;5.0;3.0;4.0;5.0;5.0;4.0;2.0;3.0;5.0;flat;250000;100.0;3.0;2;parking, booxroom;40-45;Estudios universitarios / Graduate degree;40000 - 50000;False;False;False;True;False;True
20/01/2025 22:25:55;gAAAAABntitLqHlz1b3UV1mzr4Hxn-aNW5--rgvTv0OZBRO7tkYdXxDNarE55E92ItW0JzZzQrHO68E2ADLwkpWK_UYa7GZJVMAJRABBE_hh8lLpCY9FlCM=;La Sagrada Família;La Barceloneta;1.0;1.0;1.0;1.0;1.0;1.0;1.0;3.0;1.0;flat;300000;100.0;3.0;2;air_conditioning, parking, booxroom;> 60;Estudios universitarios / Graduate degree;70000 - 80000;True;False;False;True;False;True
20/01/2025 23:08:03;gAAAAABntitL0jgqPgHV2Xk10KiiyWxfnp4UJ4JAjvsnY3r9MzNr_X74K1fYLszYUChKSpVt7J6WjvTZbo5up1809XLaUlPBe3UAIBx8XcUWz9uzh3Aj_-A=;La Sagrada Família;La Dreta de l'Eixample;3.0;4.0;4.0;5.0;3.0;3.0;3.0;3.0;3.0;penthouse;200000;90.0;3.0;2;air_conditioning, terrace, booxroom;30-35;Estudios universitarios / Graduate degree;30000 - 40000;True;True;False;False;False;True
20/01/2025 23:12:26;gAAAAABntitL13y-_ghE2QY3x78n-g_zBMJTXLIbFjVG1qMrbxaLW9eXkwDpV9iKAayUPv-rXCD2VcGEXIN0TA_rQ-oBGieBZCtwL3ZCbjBwpVTHyrVIaq8=;Les Corts;La Nova Esquerra de l'Eixample;3.0;4.0;5.0;5.0;4.0;4.0;3.0;3.0;5.0;flat;450000;100.0;3.0;2;air_conditioning, terrace, parking, booxroom;55-60;Sin estudios superiores / Undergraduate;30000 - 40000;True;True;False;True;False;True
20/01/2025 23:57:36;gAAAAABntitLEL809JASXRXUzSjlRjv52P4m09t_x7dU0mXmZl9Dy1YeNiaHHoY5zb57-He-aShQLSD_EdI1ulagqswN7HgHgtKA7HaQrZ5dKaumJM1a-f0=;La Pau;La Barceloneta;5.0;5.0;5.0;5.0;2.0;1.0;3.0;3.0;2.0;flat;350000;120.0;4.0;2;air_conditioning, terrace, parking;> 60;Estudios universitarios / Graduate degree;20000 - 30000;True;True;False;True;False;False
21/01/2025 9:49:07;gAAAAABntitLnZYIlegg38uJUP-safwhciTw_v78mJGf7K6hd463342eUSbSf2fo3ezRRjAj6iUZELoo0HnuVZ48ExxNHFn5ui7z_3YH62zU4NnF1_5xcig=;La Barceloneta;Sants;1.0;1.0;0.0;2.0;2.0;1.0;0.0;3.0;0.0;duplex;400000;80.0;2.0;2;air_conditioning, parking, booxroom;35-40;Estudios universitarios / Graduate degree;40000 - 50000;True;False;False;True;False;True
21/01/2025 12:07:47;gAAAAABntitLTmYIBR5kuJeBq7NV3NqDaBVXOMOEz9nHX8yiAD6n3OlUvZ4m9EPHQriFzD9SXwm9uVZWI5Guo6_lvnfvklV6vOEcMtdcjs7Z8mPosM1bvhY=;Horta;Sant Antoni;5.0;5.0;0.0;5.0;1.0;4.0;4.0;3.0;2.0;penthouse;350000;60.0;2.0;1;air_conditioning, terrace, terrace, booxroom;> 60;Estudios universitarios / Graduate degree;40000 - 50000;True;True;False;False;False;True
21/01/2025 12:36:11;gAAAAABntitL6X9v3OshXbjH2NSIW4TwBS47wBCEDo4F2WS4DGrWFKyq_HU9aLv5cX37FsHy9wmizw0bCec6_aTcGfhAAU7TS9_OQofSAme0KTMubh_oDeQ=;Horta;La Barceloneta;1.0;0.0;0.0;1.0;2.0;2.0;0.0;3.0;0.0;chalet;125000;70.0;2.0;1;terrace, garden, booxroom;55-60;Estudios universitarios / Graduate degree;20000 - 30000;False;True;True;False;False;True
21/01/2025 16:22:12;gAAAAABntitLwKhSuDxwehsa1VyuZq9Z2lDA7rBpr_EI52Kxa_q6pzA2JWQ8bio7u67F5Q7OYszSisczNWmr98kK7BPN2HtgcPqmuR1zlgUQEjPPoMZfyJs=;Diagonal Mar i el Front Marítim del Poblenou;La Marina del Port;2.0;2.0;1.0;2.0;1.0;2.0;2.0;3.0;1.0;duplex;350000;120.0;3.0;2;air_conditioning, terrace, terrace, parking, booxroom;> 60;Estudios universitarios / Graduate degree;20000 - 30000;True;True;False;True;False;True
