;propertyCode;Centro_comercial;Centro_comercial_distancia;cinema;distancia_cinema;Parque;Parque_distancia;Gimnasio ;Gimnasio _distancia;Supermercado;Supermercado_distancia;Teatro ;Teatro _distancia;farmacia_mas_cercana;distancia_farmacias;Escuelas;escuelas_distancia
21;100973297;Galaxia;502.440321694553;Cinesa;1714.3392643371742;;97.98161367948832;9a Poblenou;536.2803277773476;Condis;280.02344514798034;Casino l'Aliança del Poblenou;561.7981413067176;Farmàcia Díez Pérez, Marta;279.066361434364;Escola La Mar Bella;445.1991577684919
22;104300820;Muji;560.3107667204483;Cinemes Girona;638.5815846732357;;298.9539913886342;;399.741701444844;UK Supermercat;315.36418686835515;Coliseum;702.5231541998958;Farmàcia 1896;120.6683594796672;Shalom;273.90730251327614
23;103375251;El Corte Inglés;542.5694940060424;Cinema Maldà;833.9193616577259;;462.4166442073847;ago yoga;47.00149380524067;Mercadona;32.594988261446886;Teatre Borràs;276.1846727958496;Farmàcia Aguilar Pérez, M. Francisca;75.26832056003043;La Salle Comtal;285.3033850858313
24;104674961;DISTAR centres del descans;492.8156473476524;Verdi Park Barcelona;303.1393006655973;;258.49528612213965;l'Espiral;57.54033926599995;Condis;46.784772964326926;Golem's;221.2826353552929;Farmàcia Benedicto López, Mercè;93.59490168154169;Escola Joan Triadú;52.72402295030408
25;101806580;Muji;240.4529936472028;Comedia;101.247625751566;;491.1523636774768;Gimnasio McFit;243.74839086543352;Aldi;215.72731797482507;City Hall;98.52900371961026;Farmàcia Espona Meseguer, Núria;122.4398656977077;Escola Pia de Nostra Senyora;308.96040335644483
26;104301658;Galerias Maldà;396.0405321016379;Cinema Maldà;394.39291441131314;;142.4575405122955;Holmes Place;406.45211145875993;Coaliment;49.40632882746664;Palau de la Música Catalana;113.3581989990389;Farmàcia Moragrega Estrany, L - Rojas Estrany, ME;38.20300993260256;La Salle Comtal;170.82639211433295
27;101577873;Muji;1042.094947702335;Gran Sarria Multicines;458.4423345947619;;325.1221489219289;;526.6541304099493;Ametller Origen;104.17945510368968;;848.579510510018;Farmàcia Andreu Lleal, M. Assumpció;128.8477109137975;Santa Teresa - Ganduxer;99.07222755557106
28;103375253;Alejandra;527.0445202029955;Balmes Multicines;498.79190030949;;303.92218745589065;;126.59133597088896;Suma;72.43855847476213;La Gleva;982.4141372880576;Isabel Hausmann Fargas;125.4609728125186;Els Arcs;410.78291659460007
29;104978151;Muji;590.3056852102994;Aribau Multicines;485.2601753111192;;123.03239269865364;Holmes Place;316.3744250694429;Taste of America;91.06150281355238;Coliseum;565.2684646085222;Farmàcia Gimeno Fité, Mercedes;162.61876071960862;Immaculada Concepció Barcelona;129.75291050876376
30;105135662;El Corte Inglés;899.235074392615;Gran Sarria Multicines;1508.1218281317765;;218.2843497216281;Anytime Fitness;537.2224512289542;Kachafruit;157.1112540069792;;790.5627628062857;Farmàcia E. Pinto Font - I. Grases Pinto;153.09519593049166;Sagrado Corazón;207.32959457622096
31;104751759;Muji;721.4553641959886;Aribau Multicines;563.9701539474256;;152.4146099084793;BDir;240.38018687897068;Sorli;12.814531353680954;Coliseum;697.3764596971847;Farmàcia de Mir Tubert, M.J / Navarro de Mir, I.;106.95949213263928;Immaculada Concepció Barcelona;208.2029924445386
32;104830762;Centre Comercial Diagonal Mar;341.65142992536965;Cinesa;325.1799085799674;;117.63566500157704;Cross Fit Sant Marti;477.27726067369855;Alcampo;362.4300343844373;Casino l'Aliança del Poblenou;1645.4194107444173;Farmàcia Pujadas Coscolla, Ferran;40.06631418990598;Escola Joaquim Ruyra;119.8893560926916
33;100414469;Muji;388.7364656811149;Cinesa Diagonal;377.58499628762434;;67.56153213220568;Be Legend;99.9327985456623;Alcampo;331.9325318566845;Aquitania;634.0493257230294;Farmàcia García Rocafort, Aranzazu;115.91200940043277;Col·legi Pare Manyanet;400.5859792246727
34;102988077;UME Muntaner Unió Musical;812.9947936841055;Cinesa Diagonal;496.9378891361933;;519.7953177900703;;573.3686197877537;Ametller Origen;413.50693999840576;La Gleva;1062.5522344486126;Farmàcia Fabian Sanchis, Carlos;107.13208839878162;Institució Cultural del CIC;122.7835691797172
35;92808556;Centre Comercial Diagonal Mar;190.83546804885768;Cinesa;236.63734760207947;;135.53615390339277;Cross Fit Sant Marti;914.319377015377;Alcampo;170.63316929176509;Casino l'Aliança del Poblenou;1762.2884021935554;Farmàcia Bouffard Fita, Fernando;114.6627581645407;Escola Joaquim Ruyra;433.297946659634
36;104355336;Muji;1062.6585993504923;Cinemes Girona;972.0870158773008;;186.49392217620652;Let's Fly;399.5071457959597;Condis;228.4708062557432;Taller Masriera;179.8001154488105;Farmàcia Torrents Grau, Glòria;105.1392835646396;Col·legi Maristes la Immaculada;188.0296532343419
37;101731983;C4 Optics;3704.231022640036;;1960.890444946708;;200.36607985949857;;2086.892795443073;Crespo;175.73680534293143;Centre Parroquial de Sant Vicenç de Sarrià;2100.619555754634;Farmàcia Federico Carapuig Ordoñez;122.38408656721752;Escola Montserrat;609.0540916992793
38;104354008;Muji;1062.6585993504923;Cinemes Girona;972.0870158773008;;186.49392217620652;Let's Fly;399.5071457959597;Condis;228.4708062557432;Taller Masriera;179.8001154488105;Farmàcia Torrents Grau, Glòria;105.1392835646396;Col·legi Maristes la Immaculada;188.0296532343419
39;105840030;Maremagnum;614.7800222506027;Cinema Maldà;751.3301802067324;;178.57217759408724;Centre Esportiu Municipal Colom;186.5763754264909;MercaNautic;84.69327929582562;Teatro Principal;340.8343596369228;Farmàcia Rodríguez Vilar, Javier;109.33320922403432;Escola Drassanes;158.16719207574016
40;100795049;Alejandra;801.4747331635;Cinesa Diagonal;710.0511287546906;;409.2742162021622;;346.1211921730702;Suma;269.80392287009965;La Gleva;994.9767323019692;Farmàcia Bassas Costa, Josefina;85.69912255811168;Els Arcs;189.98119991986397
41;105744721;Galeries Maldà;1069.3431966473756;Cinema Maldà;1026.966214632575;;220.7622057508568;Ashtanga Yoga Shala;587.1675277563733;Condis;13.537245640666285;La Puntual;145.35024813937835;Farmàcia Sentelles Monill, Anna;117.90085191309429;Institut Verdaguer;504.4694475602352
42;105744717;Cash Converters;733.6903686758504;Aribau Multicines;496.6168700508276;;318.5809007366717;Habits Health Coworking;222.03685907447743;Lidl;69.74574011187829;La Villarroel;239.67431517156928;Farmàcia Focardell Berenguer, Yolanda;81.03190023295733;Centre Educatiu Mare de Déu del Roser;184.06626126687297
