price;price_pred;propertyCode;desviations;deviacion_class
700000.0;700392.6;105961484;-392.625;6_Muy baja_neg
1695000.0;1887307.2;94484036;-192307.25;1_Extrema_neg
505000.0;534054.1;105366761;-29054.125;4_Media_neg
850000.0;827845.75;94285069;22154.25;9_Media_pos
610000.0;562311.9;104486802;47688.125;11_Muy alta_pos
820000.0;853880.06;100789141;-33880.0625;3_Alta_neg
350000.0;388857.34;105106737;-38857.34375;3_Alta_neg
599000.0;553562.9;105915626;45437.125;11_Muy alta_pos
677000.0;758503.4;105007179;-81503.375;2_Muy alta_neg
458000.0;427321.1;105459942;30678.90625;10_Alta_pos
650000.0;654726.25;105961630;-4726.25;6_Muy baja_neg
1650000.0;1612463.8;100249882;37536.25;10_Alta_pos
2850000.0;2878022.2;105021788;-28022.25;4_Media_neg
545000.0;537349.3;105705420;7650.6875;8_Baja_pos
1380000.0;910640.8;105325067;469359.1875;12_Extrema_pos
370000.0;377733.34;104678124;-7733.34375;5_Baja_neg
750000.0;776178.3;104217322;-26178.3125;4_Media_neg
865000.0;894657.25;105945817;-29657.25;4_Media_neg
1250000.0;1307601.4;104639714;-57601.375;2_Muy alta_neg
945000.0;951979.0;104762522;-6979.0;5_Baja_neg
1580000.0;1624709.1;104375718;-44709.125;3_Alta_neg
3200000.0;3163340.5;101949519;36659.5;10_Alta_pos
725000.0;745829.3;105677036;-20829.3125;4_Media_neg
390000.0;388641.94;105384554;1358.0625;7_Muy baja_pos
605000.0;589680.06;105640288;15319.9375;9_Media_pos
390000.0;400891.94;105742796;-10891.9375;5_Baja_neg
5400000.0;5374316.0;105527030;25684.0;9_Media_pos
1200000.0;791615.4;105554654;408384.625;12_Extrema_pos
1095000.0;1064645.0;105273912;30355.0;10_Alta_pos
875000.0;829264.9;105627809;45735.125;11_Muy alta_pos
640000.0;605648.75;105042953;34351.25;10_Alta_pos
259000.0;260427.4;105940412;-1427.40625;6_Muy baja_neg
570000.0;591665.1;105042975;-21665.125;4_Media_neg
1175000.0;1206674.6;101010221;-31674.625;3_Alta_neg
725000.0;650394.9;105043047;74605.125;11_Muy alta_pos
125000.0;123304.14;105499844;1695.859375;7_Muy baja_pos
450000.0;442662.38;102260523;7337.625;8_Baja_pos
415000.0;410669.78;105155524;4330.21875;7_Muy baja_pos
1400000.0;1217295.5;105130665;182704.5;12_Extrema_pos
405000.0;412200.8;105280103;-7200.8125;5_Baja_neg
749000.0;717582.7;105280956;31417.3125;10_Alta_pos
789000.0;768434.56;104763499;20565.4375;9_Media_pos
1290000.0;1601578.0;105328392;-311578.0;1_Extrema_neg
2150000.0;2149719.2;94114913;280.75;7_Muy baja_pos
1450000.0;1342601.6;94114930;107398.375;12_Extrema_pos
750000.0;732834.3;102536699;17165.6875;9_Media_pos
1400000.0;1398236.8;94114936;1763.25;7_Muy baja_pos
2250000.0;2130052.5;94114926;119947.5;12_Extrema_pos
1300000.0;1340134.0;94114931;-40134.0;3_Alta_neg
1550000.0;1511248.9;94114901;38751.125;10_Alta_pos
690000.0;713177.56;105759795;-23177.5625;4_Media_neg
1350000.0;1331874.0;94114915;18126.0;9_Media_pos
550000.0;522433.53;93777468;27566.46875;9_Media_pos
315000.0;335652.97;105262140;-20652.96875;4_Media_neg
895000.0;875748.06;98895098;19251.9375;9_Media_pos
1150000.0;1152712.2;94114943;-2712.25;6_Muy baja_neg
1195000.0;1258941.8;105940441;-63941.75;2_Muy alta_neg
2500000.0;2386512.8;105538291;113487.25;12_Extrema_pos
1600000.0;1520586.5;105525958;79413.5;11_Muy alta_pos
3500000.0;3351790.8;97508293;148209.25;12_Extrema_pos
399900.0;391301.03;105280187;8598.96875;8_Baja_pos
877800.0;849892.7;104400956;27907.3125;9_Media_pos
379000.0;351423.3;105962262;27576.6875;9_Media_pos
1475000.0;1387503.8;104692139;87496.25;11_Muy alta_pos
695000.0;776900.3;104973166;-81900.3125;2_Muy alta_neg
2750000.0;2668130.0;103989417;81870.0;11_Muy alta_pos
2200000.0;2020192.8;101974543;179807.25;12_Extrema_pos
1165000.0;785841.6;105395911;379158.375;12_Extrema_pos
250000.0;260762.17;105758641;-10762.171875;5_Baja_neg
243000.0;243858.53;105533212;-858.53125;6_Muy baja_neg
795000.0;817367.3;103518022;-22367.3125;4_Media_neg
249000.0;254499.19;100001404;-5499.1875;5_Baja_neg
700000.0;453065.62;104947741;246934.375;12_Extrema_pos
470000.0;488157.97;105958542;-18157.96875;4_Media_neg
380000.0;395115.84;105681331;-15115.84375;4_Media_neg
195000.0;177159.78;105673235;17840.21875;9_Media_pos
1760000.0;1111227.4;104851242;648772.625;12_Extrema_pos
2500000.0;2503533.0;105408249;-3533.0;6_Muy baja_neg
600000.0;615759.75;105960939;-15759.75;4_Media_neg
270000.0;271800.88;104605440;-1800.875;6_Muy baja_neg
250000.0;188257.31;105957702;61742.6875;11_Muy alta_pos
1595000.0;1667435.6;104609264;-72435.625;2_Muy alta_neg
298000.0;297125.4;105340258;874.59375;7_Muy baja_pos
290000.0;295188.2;101567952;-5188.1875;5_Baja_neg
695000.0;715640.44;105946397;-20640.4375;4_Media_neg
790000.0;780116.6;104159904;9883.375;8_Baja_pos
600000.0;648881.94;104771022;-48881.9375;2_Muy alta_neg
1449000.0;1414859.0;104821872;34141.0;10_Alta_pos
890000.0;1038695.9;105491783;-148695.875;1_Extrema_neg
1200000.0;1183491.1;97141325;16508.875;9_Media_pos
850000.0;783685.44;104178912;66314.5625;11_Muy alta_pos
365000.0;390494.75;100025324;-25494.75;4_Media_neg
340000.0;379517.06;105218972;-39517.0625;3_Alta_neg
880000.0;875848.25;104501457;4151.75;7_Muy baja_pos
1200000.0;617541.6;87308004;582458.375;12_Extrema_pos
3250000.0;2795629.5;105279387;454370.5;12_Extrema_pos
370000.0;433219.6;104983984;-63219.59375;2_Muy alta_neg
1250000.0;1254899.9;103858485;-4899.875;6_Muy baja_neg
650000.0;558075.9;105960937;91924.125;11_Muy alta_pos
