zip_code;zip_mean_price;price_m2_mean_log
8010;14.060565717813578;8.978609943835131
8008;13.807605470532657;9.000411091580997
8007;14.237496450227399;9.169621058092797
8003;13.185494232770663;8.660510976923646
8003;13.185494232770663;8.660510976923646
8013;13.41969837602623;8.682546301567278
8034;14.093443734990037;8.850761681810813
8009;13.874866833505195;8.919752299293316
8010;14.060565717813578;8.978609943835131
8021;14.055902709807768;8.792149137162907
8022;14.121521614702955;8.74665945236113
8001;12.861427834179961;8.353067601049556
8008;13.807605470532657;9.000411091580997
8002;13.440735902803482;8.617116875117734
8002;13.440735902803482;8.617116875117734
8021;14.055902709807768;8.792149137162907
8019;12.431755730160708;8.074420997206465
8004;12.488479964977087;8.311929864355015
8009;13.874866833505195;8.919752299293316
8034;14.093443734990037;8.850761681810813
8007;14.237496450227399;9.169621058092797
8071;13.628182675248858;8.84567579829859
8008;13.807605470532657;9.000411091580997
8010;14.060565717813578;8.978609943835131
8024;12.812160850797502;8.36287018924547
8007;14.237496450227399;9.169621058092797
8003;13.185494232770663;8.660510976923646
8022;14.121521614702955;8.74665945236113
8022;14.121521614702955;8.74665945236113
8007;14.237496450227399;9.169621058092797
8034;14.093443734990037;8.850761681810813
8011;13.503711251295472;8.776974130830514
8019;12.431755730160708;8.074420997206465
8021;14.055902709807768;8.792149137162907
8021;14.055902709807768;8.792149137162907
8019;12.431755730160708;8.074420997206465
8009;13.874866833505195;8.919752299293316
8017;14.305277672470428;8.64375997161537
8009;13.874866833505195;8.919752299293316
8002;13.440735902803482;8.617116875117734
8021;14.055902709807768;8.792149137162907
8003;13.185494232770663;8.660510976923646
8011;13.503711251295472;8.776974130830514
8002;13.440735902803482;8.617116875117734
8002;13.440735902803482;8.617116875117734
8071;13.628182675248858;8.84567579829859
8034;14.093443734990037;8.850761681810813
8025;12.931663675452238;8.491879959312593
8018;12.835985886991226;8.417004141329922
8003;13.185494232770663;8.660510976923646
8021;14.055902709807768;8.792149137162907
8022;14.121521614702955;8.74665945236113
8012;12.941918408998063;8.566959731338697
8015;12.937027662008754;8.46455957163774
8013;13.41969837602623;8.682546301567278
8034;14.093443734990037;8.850761681810813
8021;14.055902709807768;8.792149137162907
8016;12.15994642780424;7.938051926246586
8025;12.931663675452238;8.491879959312593
8027;12.59316946360604;8.202348313817748
8014;12.727597279233034;8.348172075106019
8001;12.861427834179961;8.353067601049556
8006;13.377151869497064;8.650396133721344
8034;14.093443734990037;8.850761681810813
8011;13.503711251295472;8.776974130830514
8015;12.937027662008754;8.46455957163774
8007;14.237496450227399;9.169621058092797
8024;12.812160850797502;8.36287018924547
8002;13.440735902803482;8.617116875117734
8036;13.695019362624572;8.797140841539113
8017;14.305277672470428;8.64375997161537
8021;14.055902709807768;8.792149137162907
8030;12.764593515056687;8.292485078606447
8022;14.121521614702955;8.74665945236113
8002;13.440735902803482;8.617116875117734
8025;12.931663675452238;8.491879959312593
8012;12.941918408998063;8.566959731338697
8021;14.055902709807768;8.792149137162907
8002;13.440735902803482;8.617116875117734
8002;13.440735902803482;8.617116875117734
8030;12.764593515056687;8.292485078606447
8015;12.937027662008754;8.46455957163774
8014;12.727597279233034;8.348172075106019
8034;14.093443734990037;8.850761681810813
8028;12.855157857162018;8.359759837822654
8003;13.185494232770663;8.660510976923646
8903;12.349173267581364;8.051441196621724
8013;13.41969837602623;8.682546301567278
8025;12.931663675452238;8.491879959312593
8026;12.559306302929901;8.310126773746067
8016;12.15994642780424;7.938051926246586
8010;14.060565717813578;8.978609943835131
8005;12.967226910012013;8.537883910343327
8034;14.093443734990037;8.850761681810813
8026;12.559306302929901;8.310126773746067
8014;12.727597279233034;8.348172075106019
8042;11.678950449058894;7.568982767905985
8038;12.611066974228764;8.067865135468532
8005;12.967226910012013;8.537883910343327
8037;13.260954819614268;8.680964188536453
8003;13.185494232770663;8.660510976923646
8028;12.855157857162018;8.359759837822654
8028;12.855157857162018;8.359759837822654
8036;13.695019362624572;8.797140841539113
8022;14.121521614702955;8.74665945236113
8024;12.812160850797502;8.36287018924547
8022;14.121521614702955;8.74665945236113
8021;14.055902709807768;8.792149137162907
8013;13.41969837602623;8.682546301567278
8002;13.440735902803482;8.617116875117734
8010;14.060565717813578;8.978609943835131
8025;12.931663675452238;8.491879959312593
8015;12.937027662008754;8.46455957163774
8036;13.695019362624572;8.797140841539113
8031;12.13369003603315;7.914267824416088
8007;14.237496450227399;9.169621058092797
8019;12.431755730160708;8.074420997206465
8017;14.305277672470428;8.64375997161537
8010;14.060565717813578;8.978609943835131
8003;13.185494232770663;8.660510976923646
8013;13.41969837602623;8.682546301567278
8002;13.440735902803482;8.617116875117734
8021;14.055902709807768;8.792149137162907
8009;13.874866833505195;8.919752299293316
8029;13.361232906061314;8.56285393745657
8036;13.695019362624572;8.797140841539113
8010;14.060565717813578;8.978609943835131
8007;14.237496450227399;9.169621058092797
8001;12.861427834179961;8.353067601049556
8025;12.931663675452238;8.491879959312593
8002;13.440735902803482;8.617116875117734
8022;14.121521614702955;8.74665945236113
8009;13.874866833505195;8.919752299293316
8019;12.431755730160708;8.074420997206465
8013;13.41969837602623;8.682546301567278
8029;13.361232906061314;8.56285393745657
8012;12.941918408998063;8.566959731338697
8029;13.361232906061314;8.56285393745657
8010;14.060565717813578;8.978609943835131
8029;13.361232906061314;8.56285393745657
8001;12.861427834179961;8.353067601049556
8001;12.861427834179961;8.353067601049556
8023;12.799157685034528;8.268687758041994
8003;13.185494232770663;8.660510976923646
8025;12.931663675452238;8.491879959312593
8002;13.440735902803482;8.617116875117734
