propertyCode;properties.name;properties.name_distancia
105384554;Institut Escola Elisabets;201.19498872926576
105640288;Escola Sagrada Família;138.75566067834023
105742796;Escuela de Artes Aplicadas y Oficios Antiguos;109.32759846861255
105527030;Escola Frederic Mistral - Tècnic Eulàlia (Centre Tibidabo);193.1495737172099
105554654;Escolàpies Llúria;39.9038181666081
105273912;Escola Joaquim Ruyra;477.0819154639892
105627809;Col·legi Maristes la Immaculada;224.00353174218768
105042953;Escola Joan Miró;359.9171542730196
105940412;Escola l'Univers;263.29913665275427
105042975;Escola Joan Miró;359.9171542730196
101010221;Jesuïtes Casp - Sagrat Cor de Jesús;189.90883301957018
105043047;Escola Joan Miró;359.9171542730196
105499844;Institut Lluïsa Cura;152.67026141466067
102260523;Escola Collaso i Gil;200.73521217923334
105155524;Escola Súnion;346.0031864710694
105130665;Escola Tècnico-Professional Xavier;198.52333062450134
105280103;Institut Teresa Pàmies;26.51928219449038
105280956;EOI de Barcelona - Drassanes;242.1851635607636
104763499;Escola Santa Dorotea. Salesianes Sarrià;342.53320698047924
105328392;Jesuïtes Casp - Sagrat Cor de Jesús;221.82278084963878
94114913;Escola Pia de Nostra Senyora;296.23622437354055
94114930;Perez Iborra;151.65285579801838
102536699;Dominiques Barcelona;71.90530066334145
94114936;Stucom;227.51552116059324
94114926;Perez Iborra;87.182054947206
94114931;Perez Iborra;152.50969606267375
94114901;Perez Iborra;99.34057360999928
105759795;Institut Fort Pius;281.59121132802136
94114915;Perez Iborra;45.87973370962641
93777468;Institut de Nàutica de Barcelona;302.2992275255019
105262140;Escola Ignasi Iglésias;197.87889407827456
98895098;Escola Pere Vila;344.0583137083314
94114943;Perez Iborra;193.12178855382822
105940441;Escola Augusta;429.19273380403786
105538291;Lycée Français de Barcelone;218.8949774853884
105525958;Institut Pedralbes;135.49178399933464
97508293;Centre Educatiu Santa Anna - Eixample;236.95504936973313
105280187;Escola Timbaler del Bruc;153.6975929456502
104400956;Escola Nàutica Port Olímpic;308.01784952616464
105962262;Escola Sagrada Família;86.88573076446993
104692139;Som-hi dansa;156.70806270470115
104973166;Institut Icària;96.14299961857915
103989417;Lyceé Français de Barcelone;223.087947317052
101974543;Institut Verdaguer;275.77138934781544
105395911;Institució Cultural del CIC;221.59435361024964
105758641;Institut Joan Fuster;142.48080419271187
105533212;Escola Tibidabo;196.8194255212446
103518022;Escuela de Artes Aplicadas y Oficios Antiguos;278.13362625476634
100001404;CFA Maria Rubies;170.69530989488482
104947741;Escola Eulàlia Bota;322.33111921351457
105958542;Escola Carlit;193.95697408379596
105681331;Escola Patronat Domenech;124.512070987938
105673235;Mare de Déu del Coll;128.9512952442862
104851242;Sant Marc de Sarrià;271.20711609819523
105408249;Perez Iborra;208.02001268246482
105960939;Escuela de Artes Aplicadas y Oficios Antiguos;258.1963360090426
104605440;Liceu Castro de la Peña;273.2727234644475
105957702;Escola Joaquim Ruyra;97.95315224995062
104609264;Lyceé Français de Barcelone;273.1764294570823
105340258;FEP Sant Medir;69.55709683894753
101567952;Escola Collaso i Gil;121.74722302487949
105946397;Escola Drassanes;194.97211966119147
104159904;Escola Ángel Baixeiras;284.6948608350196
104771022;Escola Nausica;56.95168891961645
104821872;Institució Cultural del CIC;312.3858369972585
