propertyCode;Parque;Parque_distancia
99117414;;343.50042177737225
101300670;;123.64436470884377
104772587;;237.00914995604433
100770574;;133.4842474716035
105932101;;200.7247947419509
102267096;;156.86332266886444
89312621;;364.3475871180878
104038296;;194.12952308205905
95269529;;318.7042296132336
103898736;;398.1777467519652
104171277;;288.979139276474
99411495;;101.08810904009475
97908823;;499.5070926854787
101660330;;246.61841463982208
100923748;;53.37494429369607
105200359;;241.34592639882524
104395845;;73.37676749905022
104104070;;264.37913575466416
104300966;;471.3237054521543
85492220;;521.581944560635
104301010;;559.4726285866952
100973297;;97.98161367948833
104300820;;298.9539913886342
103375251;;462.41664420738465
104674961;;258.49528612213965
101806580;;491.15236367747684
104301658;;142.4575405122955
101577873;;325.12214892192895
103375253;;303.92218745589065
104978151;;123.03239269865364
105135662;;218.2843497216281
104751759;;152.4146099084793
104830762;;117.63566500157704
100414469;;67.56153213220568
102988077;;519.7953177900703
92808556;;135.53615390339277
104355336;;186.49392217620655
101731983;;200.36607985949857
104354008;;186.49392217620655
105840030;;178.57217759408724
100795049;;409.2742162021622
105744721;;220.76220575085677
105744717;;318.5809007366717
105744713;;214.45804906335843
105744728;;141.45340673278088
105904313;;67.29484443063052
105437601;;74.27342431128848
99673590;;423.37373239142903
101674986;;37.21478664361546
101849486;;209.44639550894044
104214558;;200.3833880790992
100491848;;235.70085043310988
105248415;;149.53381254348596
104664074;;260.8241340061912
105391927;;195.15566955426857
96535945;;538.9717408439996
105168573;;285.5775751512633
105584469;;73.26232013109102
100756616;;193.05943204531843
105962661;;88.84508860196624
105961430;;292.5261773556607
104192936;;327.8434013041168
100683533;;239.13888023461146
99097372;;232.69738818787195
103859092;;235.83558705877073
104491424;;254.25780770144002
104254323;;381.52665981646356
99736872;;60.57632002664787
102756132;;222.80277932355034
104706723;;198.52258101299972
102475902;;285.618748347971
96978808;;250.65086756686034
105959775;;147.7984031624447
104050541;;269.6286256688811
97567761;;318.8000575553354
105962622;;167.59354670349384
102842326;;166.90826648766776
103294347;;334.2141568027685
104628125;;305.11406106399454
102924204;;301.287803894504
105741973;;334.24447268035465
105957559;;20.876703830632287
105457114;;218.2250666023514
103733107;;201.06064155739395
104079678;;75.17764689017204
102490609;;243.24930887990647
105885329;;134.9371265800523
105770457;;177.81348580098324
105961095;;181.9040171623236
105590567;;153.5076854757568
105960961;;85.16022754794245
103599160;;228.98657786170344
105288505;;217.63832578721806
105834194;;275.47069622437874
105838398;;20.858512013651435
105837873;;290.1166740558221
105961385;;143.45652966965565
99973726;;410.5529824245128
102420092;;371.28465414727145
105875496;;249.24931967282163
104125474;;306.91262257416116
98016761;;181.39571218004485
95890216;;169.62235344244786
105406783;;105.74242432088114
104981438;;210.27523678550403
105961484;;128.74956828265076
94484036;;169.3168080613577
105366761;;378.6788516206688
94285069;;187.031729961993
104486802;;246.01509886140533
