propertyCode;Supermercado;Supermercado_distancia
99117414;Coaliment;100.77585266627615
101300670;Suma;336.94490055129575
104772587;Primaprix;153.4729393823881
100770574;Covirán;61.49694928145089
105932101;Charter;28.021050883737704
102267096;Lidl;93.35011486997368
89312621;Condis;426.347969566873
104038296;Mercadona;130.47542175827664
95269529;Caprabo;145.06646192368893
103898736;Plusfresc;188.67694529027392
104171277;Ametller Origen;248.4215455389077
99411495;Dia;75.80702615426036
97908823;Al-Amin;139.26371874151002
101660330;MiAlcampo;188.26678667701697
100923748;Dia Market;47.96061926138088
105200359;Dia;56.530205275785136
104395845;Alcampo;380.5855688150252
104104070;Condis;48.50303302888539
104300966;Spar;88.12768862172807
85492220;Alimentació Pons;444.9922879544947
104301010;UK Supermercat;12.659154471364134
100973297;Condis;280.02344514798034
104300820;UK Supermercat;315.36418686835515
103375251;Mercadona;32.594988261446886
104674961;Condis;46.784772964326926
101806580;Aldi;215.72731797482507
104301658;Coaliment;49.40632882746664
101577873;Ametller Origen;104.17945510368968
103375253;Suma;72.43855847476213
104978151;Taste of America;91.06150281355238
105135662;Kachafruit;157.1112540069792
104751759;Sorli;12.814531353680954
104830762;Alcampo;362.4300343844373
100414469;Alcampo;331.9325318566845
102988077;Ametller Origen;413.50693999840576
92808556;Alcampo;170.63316929176509
104355336;Condis;228.47080625574318
101731983;Crespo;175.73680534293143
104354008;Condis;228.47080625574318
105840030;MercaNautic;84.69327929582562
100795049;Suma;269.80392287009965
105744721;Condis;13.537245640666283
105744717;Lidl;69.74574011187829
105744713;Superservis;179.8515311111416
105744728;MercaNautic;66.34044893329734
105904313;Condis;265.48112528248186
105437601;Veritas;129.68300662561114
99673590;Alimentació oriental;25.359273392269245
101674986;Bonpreu;86.31178990536186
101849486;Mi Alcampo;46.729914650612464
104214558;Supermercat;70.59506819282089
100491848;Condis;122.33155860523613
105248415;Al gra;66.31732899124744
104664074;Mercadona;144.1718692469732
105391927;Lidl;93.76404411567054
96535945;Alimentació Pons;694.6058650440588
105168573;El graner de Sant Gervasi;136.8016442244484
105584469;Caprabo;18.343121972467145
100756616;Sardenya Open;76.3676118234793
105962661;Caprabo;91.17768808283496
105961430;Caprabo;114.58009253319756
104192936;Supermarket 24h;109.28467829989486
100683533;Consum;191.36367525286963
99097372;Alimentació Pons;1234.1798716441028
103859092;Lidl;83.61093236077991
104491424;Caprabo;85.82649059299635
104254323;;173.58030354672277
99736872;Consum;216.75594377624392
102756132;Spar;172.4795063614724
104706723;Jespac Supermercats;165.30338198018308
102475902;Badul-a-que;1184.2441790764626
96978808;Plusfresc;163.35728920306298
105959775;charter;147.3437992699402
104050541;Caprabo;56.216634007305494
97567761;;79.57135039489697
105962622;Charter;35.742895897074895
102842326;MODU supermarket;53.411130453489164
103294347;OpenCor;259.29476892136006
104628125;Mi Al Campo;61.00738568209206
102924204;;91.4266821409266
105741973;Mercadona;351.38161652011325
105957559;Mônmas;69.36153329155225
105457114;Hiper Galicia;203.2978252146086
103733107;Bon Area;263.93786140603845
104079678;Caprabo;63.75170843339073
102490609;De tot al Born;114.35947815203058
105885329;Sorli Discau;103.68087959070239
105770457;Supermercat uma;61.4926730873497
105961095;Molsa;22.934826169742802
105590567;El Graner;102.29900108949415
105960961;Lidl;66.3177463672082
103599160;Coaliment;47.06971879378439
105288505;BonÀrea;11.653885546286483
105834194;Condis;87.59482136115544
105838398;;79.701387754372
105837873;;28.742269178853945
105961385;Dia;310.31352362582015
99973726;Bon Area;569.9308266277864
102420092;;233.83227576666545
105875496;Suma;185.45366775658403
104125474;Dia;156.29905696253016
98016761;Condis;150.05402356033275
95890216;Condis;240.2839357675784
105406783;Alimentació La Torra;87.38226286063012
104981438;Ametller Origen;324.2434268846746
105961484;Veritas;185.70644291780926
94484036;Caprabo;289.94004292375644
105366761;;111.68547025023939
94285069;Sorli;82.94863152539773
104486802;;130.8743395605547
100789141;Caprabo;120.98942646206689
105106737;Pulgarcito;59.42987072139501
105915626;Mercadona;105.27551070445979
105007179;Spar;11.92599528943397
105459942;Bonpreu;159.6162399830368
105961630;Express;85.32556423080906
100249882;Mercadona;511.03803889511556
105021788;Crespo;918.1362813625141
105705420;Maa Supermercat;158.6689641165398
105325067;Covirán;45.21254333151879
104678124;Molsa;30.812856076086792
104217322;Superservis;112.66982745999348
105945817;PROP;146.73364314067837
104639714;;73.09847213717451
104762522;Bon Area;210.98792499337648
104375718;Con pan;41.825391449741836
101949519;Coaliment;69.63722327741505
105677036;;127.78853594839651
105384554;Covirán;115.56708811594719
105640288;Bonpreu;87.75423411416992
105742796;Superservis;23.865304313916496
105527030;Condis;803.9060524680435
105554654;Supercor;19.64093648766323
105273912;Alcampo;184.73239663327826
105627809;Supermarket;66.31283359997693
105042953;Coaliment;277.27343662030046
105940412;Keisy;102.62887828724705
105042975;Coaliment;277.27343662030046
101010221;Caprabo;43.63347903379954
105043047;Coaliment;277.27343662030046
105499844;ALDI;189.79382987646156
102260523;Condis;152.54144160300115
105155524;Jespac;122.6428546888919
105130665;Covirán;105.08099363469894
105280103;CoAliment;92.80411289152417
105280956;;48.39977020391431
104763499;Caprabo;337.9037137466082
105328392;EuroCity;156.59921948446217
94114913;Veritas;273.76419582939656
94114930;MiAlcampo;25.225134632487737
102536699;Charter;32.87303590820493
94114936;Veritas;186.09446265655555
94114926;Veritas;95.99498528744863
94114931;MiAlcampo;92.67065769876098
94114901;MiAlcampo;61.42887976878479
105759795;ALDI;110.90042543814525
94114915;Express;90.18904168292654
93777468;Premmia Mercat;181.83184733513596
105262140;veritas;494.01811355021306
98895098;Supermercat Asiatic;54.28661260027946
94114943;Primaprix;143.3109779900433
105940441;Alcampo;244.46123328803435
105538291;Kachafruit;406.4382316442817
105525958;Alimentació Pons;637.1733853592388
97508293;Coaliment;102.57701582712582
