propertyCode;Teatro ;Teatro _distancia
101949519;Taller Masriera;373.9131792533926
105677036;Teatre Muntaner;233.49426664206845
105384554;Club Capitol;182.09134689765972
105640288;Teatre Gaudi;354.02811598589125
105742796;Tablao Flamenco Cordobes;297.65103272672775
105527030;Centre Parroquial de Sant Vicenç de Sarrià;1975.1794879772249
105554654;Taller Masriera;500.50414387637875
105273912;Casino l'Aliança del Poblenou;1840.8231128140092
105627809;Taller Masriera;477.88558715092563
105042953;La Villarroel;851.7769524698979
105940412;Microteatre Barcelona;76.35367823894764
105042975;La Villarroel;851.7769524698979
101010221;Teatre Borràs;195.66134486799746
105043047;La Villarroel;851.7769524698979
105499844;Teatre del Raval;161.83424394634673
102260523;Teatre Victòria;60.29462795222314
105155524;La Gleva;900.4333164713295
105130665;La Puntual;234.5793331019036
105280103;Teatre Gaudi;185.18745694136413
105280956;Teatro Principal;166.94128269832703
104763499;;349.0273226943682
105328392;Teatre Borràs;100.70825283046828
94114913;Coliseum;139.62419715212636
94114930;Coliseum;234.71717508074707
102536699;Taller Masriera;580.8834804563548
94114936;Coliseum;260.9949989577893
94114926;Coliseum;247.59219107096024
94114931;Coliseum;302.2747697796102
94114901;Coliseum;227.39638367337747
105759795;Taller Masriera;647.8833860228833
94114915;Coliseum;329.29681766040295
93777468;La Seca Espai Brossa;1515.8532418431319
105262140;Sant Andreu Teatre;1386.559385485055
98895098;L'Antic Teatre;510.6206503303895
94114943;Coliseum;292.8285483765973
105940441;Aquitania;655.5716849891403
105538291;Centre Parroquial de Sant Vicenç de Sarrià;1071.8057402211634
105525958;Teatre Joventut;2023.335318821863
97508293;Taller Masriera;364.3036055680607
105280187;Sant Andreu Teatre;1362.7598161960088
104400956;Teatre Akademia;197.97066233071666
105962262;Teatre Gaudi;341.24703849357553
104692139;Aquitania;228.57927372375826
104973166;Sala Poblenou. Centre Moral i Cultural;875.0901090751125
103989417;Centre Parroquial de Sant Vicenç de Sarrià;895.1114380611358
101974543;La Seca Espai Brossa;361.2219504078995
105395911;Aquitania;1007.6821601838412
105758641;Nau Ivanow;476.14953744854654
105533212;Ateneu Popular de Nou Barris;571.1070335526089
103518022;Tablao Flamenco Cordobes;131.8476268026375
100001404;Conservatori Superior de Música del Liceu;127.67067820179953
104947741;Ateneu Popular de Nou Barris;1190.0900813256317
105958542;Taller Masriera;322.00220642396283
105681331;Jove Teatre Regina;413.58650235529365
105673235;L'Autentica Teatre;1649.5302061775044
104851242;Centre Parroquial de Sant Vicenç de Sarrià;384.5096956605357
105408249;Coliseum;109.94827301949182
105960939;Tablao Flamenco Cordobes;207.06998564440815
104605440;Teatre Gaudi;1424.5899166627312
105957702;Auditori Sant Martí de Provençals;1830.9669541161097
104609264;;981.7782630201953
105340258;Sala Sant Medir;87.8779444256647
101567952;Teatre Tantarantana;123.61434175450208
105946397;Teatro Principal;493.633259617594
104159904;Palau Dalmases;391.99300355648774
104771022;Teatre Akademia;579.092606492253
104821872;Aquitania;1082.1490033086468
105491783;La Gleva;1479.4347952153591
97141325;La Puntual;281.46608573879115
104178912;Palau Dalmases;396.78135564636455
100025324;Poliorama;109.33650354118113
105218972;Teatre Gaudi;679.7003709640433
104501457;Sala Beckett;332.04423707838595
87308004;La Seca Espai Brossa;1018.7692918863678
105279387;;777.7005219161769
104983984;Teatre del Raval;376.4532887832509
103858485;Teatre Muntaner;315.5145285077985
105960937;Nau Ivanow;1324.5931986067267
105518898;La Gleva;1459.7814684310085
105512195;Teatre del Raval;523.8174346280261
99581952;La Gleva;564.4928697497384
104568950;Gran Teatre del Liceu;142.95127053222123
104430598;Palau Dalmases;112.54790439445661
103890711;Teatre Gaudi;811.4331955089283
102589926;La Casa de los Contos;296.51022909908977
105511135;La Villarroel;342.9783785222628
