propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros
105374464;41.3692025;2.1242486;Santa Eulàlia;367.23191858372223
101263135;41.3730936;2.0994881;Can Vidalet;152.37897221152858
105965512;41.3665369;2.1226342;Torrassa;543.497236829886
104644274;41.3700597;2.1183069;Torrassa;231.11702945794343
105655288;41.3610087;2.1070558;Sant Josep;276.6612675826963
105021962;41.3635267;2.1295046;Ildefons Cerdà;268.1243609327817
106012334;41.3594464;2.1248402;Provençana;220.38726177558124
100763362;41.3580298;2.0978657;Avinguda Carrilet;398.6191153103143
105476193;41.3662583;2.1193638;Torrassa;330.41726539255376
105858637;41.3659283;2.108648;Florida;283.7749878817151
105814621;41.3657535;2.1082038;Florida;316.18432977454404
105649242;41.3580298;2.0978657;Avinguda Carrilet;398.6191153103143
105655196;41.3625583;2.1342696;Ciutat de la Justícia;130.09713613082937
105394119;41.3606582;2.1098125;Sant Josep;56.24306888135858
105120062;41.3676784;2.1167948;Torrassa;81.93600419823434
101653516;41.3665959;2.1096485;Florida;192.40210963473015
105466541;41.3701235;2.1165993;Torrassa;190.79853212395196
105568295;41.3670468;2.1227213;Santa Eulàlia;529.3601180729353
106007887;41.368696;2.105002;Can Serra;220.39477864648305
105466502;41.375827;2.1054557;Pubilla Cases;263.47269309390805
105364087;41.3653812;2.1289563;Santa Eulàlia;380.7524963686391
106001848;41.3716402;2.1270879;Santa Eulàlia;340.09234870915816
104681308;41.351365;2.115164;Bellvitge Rambla Marina;356.66212283808056
106015688;41.3743231;2.1150283;Ernest Lluch;305.2747146295776
105987777;41.3670481;2.1202768;Torrassa;340.2964938722314
105134911;41.3515202;2.1095836;Bellvitge Rambla Marina;128.86232104471142
105988842;41.3700546;2.1235198;Santa Eulàlia;447.7225225170336
106015445;41.370885;2.1232222;Santa Eulàlia;506.4385656597219
105650809;41.3671798;2.1178399;Torrassa;169.63260806348953
105540143;41.3728913;2.108873;Pubilla Cases;178.81701919888292
105974688;41.3665155;2.1100104;Florida;201.27726292874542
105875450;41.3663426;2.1077588;Florida;280.074778525075
105959814;41.3604208;2.1263882;Provençana;205.57025389752457
103426216;41.3603888;2.0997976;Avinguda Carrilet;278.13655154578555
104891609;41.3714102;2.1030769;Can Vidalet;279.8901365527229
104870705;41.361919;2.1249168;Provençana;78.79032559279872
105143602;41.3589263;2.0996394;Avinguda Carrilet;237.94892180895835
105821990;41.3643425;2.1099677;Sant Josep;378.1444011994246
104919744;41.3666812;2.1079411;Florida;241.36647660331374
105456336;41.357769;2.1251952;Europa-Fira;71.08812679600695
98565154;41.3698751;2.1084374;Florida;208.15310301009038
105398918;41.3623546;2.106039;Sant Josep;393.84486242624996
105929649;41.3612171;2.1058005;Avinguda Carrilet;377.55336355728144
104603365;41.3714016;2.1043828;Pubilla Cases;352.42894517201614
105032290;41.3626579;2.1283601;Ildefons Cerdà;224.51504142784304
105409010;41.3712894;2.1124727;Florida;396.7083545426825
106019998;41.3681973;2.1243436;Santa Eulàlia;362.7605839821214
105361538;41.3734343;2.105508;Pubilla Cases;141.32941018902002
106001269;41.3727769;2.1222233;Collblanc;469.4007335752873
105275686;41.3716883;2.1011517;Can Vidalet;116.5891190102405
104581435;41.3631933;2.1066316;Sant Josep;399.2870271624647
104581525;41.3581977;2.1246713;Europa-Fira;127.36290356299254
106005474;41.3735324;2.1229224;Collblanc;458.75005484344814
104568658;41.3584614;2.1254493;Europa-Fira;136.1726717399494
105522688;41.3736449;2.1079396;Pubilla Cases;71.01471964863187
105414435;41.3680086;2.1046255;Can Serra;162.153648499268
104362105;41.3563017;2.0966974;Avinguda Carrilet;550.468070417304
106007030;41.3715604;2.1229591;Santa Eulàlia;563.1750699328635
105776253;41.3739479;2.1087445;Pubilla Cases;136.66383344266885
105250894;41.3574693;2.1280477;Europa-Fira;198.78770719102812
104791821;41.3585171;2.105694;Avinguda Carrilet;241.8425093769645
105176282;41.3672709;2.127936;Santa Eulàlia;178.74102292531487
105618652;41.3593604;2.1290614;Ildefons Cerdà;220.82207451154738
105984595;41.3709908;2.1228902;Santa Eulàlia;536.5178135553699
104359037;41.373183;2.1025679;Can Vidalet;284.590490712724
105984798;41.3694555;2.1172003;Torrassa;125.9614210576121
105634980;41.3703109;2.104541;Can Serra;328.4915474791191
105441083;41.3734757;2.1188659;Collblanc;269.08529802987783
105025815;41.365931;2.0879864;Can Boixeres;304.2302251760892
105576852;41.366219;2.122591;Torrassa;554.6843268655526
105994278;41.3543296;2.1020834;Avinguda Carrilet;405.47081844810424
106019552;41.3696787;2.1241717;Santa Eulàlia;383.5667025338816
104098113;41.3717336;2.121992;Collblanc;549.0660090815453
105644946;41.3722145;2.1146375;Torrassa;454.6856053605788
105736296;41.3648767;2.1198484;Torrassa;475.4984425090218
105848127;41.3693775;2.1271549;Santa Eulàlia;137.28273864887407
95143186;41.3664229;2.1175054;Torrassa;232.05906623178615
105695772;41.3701456;2.1230848;Santa Eulàlia;485.456659277078
106019031;41.3727431;2.1021553;Can Vidalet;229.4731688577555
105047289;41.3743384;2.1206496;Collblanc;253.65734283616786
105857822;41.3722108;2.1152413;Torrassa;438.2892851404498
105709676;41.3761753;2.0991925;Can Vidalet;495.21155837781913
106006091;41.3525534;2.1145363;Gornal;325.49580315085353
105855238;41.3716595;2.1223144;Collblanc;570.9867935658017
105882002;41.3697323;2.1222361;Torrassa;491.5857591814727
105848331;41.3702926;2.1264499;Santa Eulàlia;244.9911750904832
103521716;41.373316;2.1139446;Ernest Lluch;328.0049761186437
91186875;41.3604402;2.1000628;Avinguda Carrilet;264.16581360266474
91186950;41.3604402;2.1000628;Avinguda Carrilet;264.16581360266474
105943207;41.3756314;2.1207411;Collblanc;197.31020440780526
105054594;41.3720969;2.1190173;Collblanc;422.5548797919703
105376046;41.3728776;2.101904;Can Vidalet;219.62290483742797
105913950;41.3657281;2.1179162;Torrassa;316.2347494243565
105665995;41.3541352;2.1124245;Bellvitge Rambla Marina;373.529143570183
105965348;41.3744759;2.1202267;Collblanc;217.55565737572232
105984342;41.3750351;2.1014342;Can Vidalet;392.1779520642649
