propertyCode;latitude;longitude
99117414;41.3915639;2.1712643
101300670;41.3957095;2.1623512
104772587;41.3874136;2.162632
100770574;41.385963;2.1804158
105932101;41.3888224;2.177394
102267096;41.398689;2.1788173
89312621;41.4003309;2.1264782
104038296;41.3936519;2.1712353
95269529;41.3914619;2.1738039
103898736;41.3977555;2.140259
104171277;41.3970105;2.1321442
99411495;41.3820774;2.1705548
97908823;41.3972076;2.1584031
101660330;41.3820947;2.17516
100923748;41.3805511;2.1778033
105200359;41.3958728;2.1481071
104395845;41.4062339;2.2167724
104104070;41.3726741;2.1665673
104300966;41.3952831;2.1669124
85492220;41.3889602;2.1092003
104301010;41.3924284;2.1655866
100973297;41.3974686;2.2078448
104300820;41.3940247;2.163282
103375251;41.390589;2.1753708
104674961;41.4064525;2.1594368
101806580;41.3886114;2.1680554
104301658;41.3866769;2.1747612
101577873;41.398657;2.1334639
103375253;41.4030039;2.1370272
104978151;41.3902718;2.1612755
105135662;41.3911202;2.120897
104751759;41.3905391;2.1600967
104830762;41.4105883;2.2136354
100414469;41.3922382;2.1394177
102988077;41.3979448;2.1378893
92808556;41.4081343;2.216976
104355336;41.3972978;2.1730788
101731983;41.41278;2.10618
104354008;41.3972978;2.1730788
105840030;41.3778311;2.1779746
100795049;41.4000263;2.1374991
105744721;41.3866527;2.1825284
105744717;41.3865681;2.1580967
105744713;41.3801932;2.1754118
105744728;41.3773065;2.1791939
105904313;41.3997605;2.2094554
105437601;41.3960925;2.1260195
99673590;41.4106897;2.1736123
101674986;41.4127803;2.1960708
101849486;41.3818171;2.1814563
104214558;41.3918155;2.1430863
100491848;41.4047068;2.1286019
105248415;41.3991216;2.1544436
104664074;41.3766728;2.1509497
105391927;41.3973661;2.1795357
96535945;41.3907467;2.1077229
105168573;41.3935687;2.1475211
105584469;41.4375364;2.1737421
100756616;41.4059252;2.1701248
105962661;41.4188771;2.1894363
105961430;41.3711381;2.1474684
104192936;41.3813287;2.1726277
100683533;41.4008603;2.1462468
99097372;41.389559;2.1017693
103859092;41.3852788;2.1577777
104491424;41.373478;2.1566865
104254323;41.3937722;2.1647133
99736872;41.4124716;2.1629843
102756132;41.38351;2.1738979
104706723;41.393857;2.1521678
102475902;41.3970908;2.1093408
96978808;41.3998849;2.1421593
105959775;41.4420316;2.1864718
104050541;41.4020175;2.1358289
97567761;41.3818766;2.1803202
105962622;41.4065877;2.1719006
102842326;41.4002542;2.1573216
103294347;41.3958265;2.1360448
104628125;41.379697;2.1739304
102924204;41.3817782;2.1800851
105741973;41.4310718;2.1963254
105957559;41.3777066;2.16342
105457114;41.3769254;2.1392147
103733107;41.3953576;2.120546
104079678;41.3729631;2.1281416
102490609;41.385277;2.1817315
105885329;41.371592;2.1280916
105770457;41.3965748;2.1804405
105961095;41.4069329;2.1761393
105590567;41.410861;2.1808983
105960961;41.4307004;2.1736726
103599160;41.3874822;2.1745856
105288505;41.4005221;2.2038465
105834194;41.3900806;2.1247847
105838398;41.412006;2.1803014
105837873;41.3726754;2.1450967
105961385;41.4415582;2.173411
99973726;41.3543929;2.1383356
102420092;41.3981624;2.1993276
105875496;41.3971657;2.1650909
104125474;41.3823736;2.1870373
98016761;41.3869076;2.1311015
95890216;41.3867434;2.1267498
105406783;41.3915498;2.1510807
104981438;41.4001647;2.1321695
105961484;41.4144221;2.1599603
94484036;41.3955935;2.1297313
105366761;41.3949955;2.1467176
94285069;41.393823;2.1787513
104486802;41.380353;2.1800948
100789141;41.3899691;2.1719308
105106737;41.4093127;2.1756924
105915626;41.381798;2.1534811
105007179;41.3917701;2.1523698
105459942;41.4359058;2.1618061
105961630;41.3901937;2.1635796
100249882;41.4052457;2.2154735
105021788;41.4082777;2.1112812
105705420;41.393548;2.1726573
105325067;41.3867727;2.1799741
104678124;41.4065041;2.1762041
104217322;41.3817066;2.1757485
105945817;41.3944842;2.1450131
104639714;41.395583;2.172029
104762522;41.3831615;2.1445174
104375718;41.3903227;2.1505637
101949519;41.3923601;2.172558
105677036;41.3861248;2.1635237
105384554;41.3854178;2.1691169
105640288;41.4042486;2.1696042
105742796;41.3810799;2.1765074
105527030;41.4148116;2.1313388
