properties.name;latitude;longitude;distancia
Bogatell;41.3950987;2.1920399;6304.385549006332
Llacuna;41.3993809;2.197649;6693.184694271004
Poblenou;41.4036418;2.2032751;7124.982045299228
Selva de Mar;41.4080147;2.2091094;7608.585360001274
El Maresme | Fòrum;41.4117753;2.2166779;8261.027668448343
Besòs;41.4203693;2.2097125;7813.052776200358
Besòs Mar;41.4150936;2.2160851;8246.699104323865
Sant Martí;41.4190565;2.2007307;7048.187794831679
el Clot;41.4101394;2.1869158;5765.981630915632
Tetuan;41.3948216;2.1755213;4965.7655906182645
Urquinaona;41.3896372;2.1745608;5069.546467712226
Sants Estació;41.3798895;2.1403215;3473.8211289695814
Plaça Molina;41.4013354;2.1474414;2512.1723745147133
Pàdua;41.403344;2.1430732;2111.038895988045
el Putxet;41.4058141;2.1391359;1756.4273964115168
Avinguda Tibidabo;41.4096598;2.1371569;1632.263317532888
Sant Ildefons;41.3633432;2.0843303;5549.44421522751
Can Vidalet;41.3717369;2.0997596;4138.687795127539
Via Júlia;41.4438467;2.1786043;6549.934868509785
Trinitat Nova;41.449185;2.182427;7177.959105095213
Casa de l'Aigua;41.4512669;2.1848915;7485.500699802348
Torre Baró | Vallbona;41.4592177;2.1799449;7821.723901559595
Can Cuiàs;41.4625511;2.1728664;7739.621033311267
Ciutat Meridiana;41.4609185;2.1745668;7680.579785800263
el Carmel;41.4256037;2.1549579;3748.821161027567
Maragall;41.4231064;2.1773979;5292.746742591724
Sant Pau | Dos de Maig;41.4107312;2.175983;4860.906408645286
Sant Gervasi;41.4010671;2.1470799;2489.5393304468553
les Tres Torres;41.3976108;2.1311837;1458.8547453072565
la Bonanova;41.3977857;2.1361547;1780.5830929919032
Santa Rosa;41.446842;2.2158135;9321.855896568424
Muntaner;41.3986188;2.1428749;2238.7503330812688
Joanic;41.4062666;2.1631882;3766.642492653692
Guinardó | Hospital de Sant Pau;41.4160751;2.174074;4799.995342680688
Cornellà-Riera;41.3514715;2.0706597;7273.484144830843
Almeda;41.3530362;2.0845124;6553.879120972484
Alfons X;41.4121009;2.1655057;4011.6769154262543
Urgell;41.3824863;2.1588888;4316.054476743728
Marina;41.3949958;2.1862682;5834.528826065274
Glòries;41.4022111;2.1875183;5819.2633034494975
Navas;41.4160445;2.1869379;5852.27414460827
