propertyCode;latitude;longitude;estacion_mas_cercana;distancia_metros;farmacia_mas_cercana;distancia_farmacias;farmacia_mas_cercana_idx;autobus_mas_cercana;distancia_autobuss
98895099;41.3893636;2.1696232;Passeig de Gràcia (L2);112.9225509350297;Farmàcia Galup Russines, Mireia;108.11743572212411;468.0;Pg de Gràcia - Casp;65.63373864345778
98150711;41.4005839;2.1093954;Reina Elisenda;830.290356638042;Farmàcia Maria Àngels Beumala Llunell;688.5359940628329;1952.0;CEIP Costa i Llobera;157.55345542386877
105503020;41.3879237;2.1596942;Universitat;441.5495662932525;Farmàcia Castell Fores, M. Carme;67.79391516616806;2083.0;Aribau - Aragó;29.359548632536494
94826745;41.4061314;2.2147155;Selva de Mar;513.3045602060056;Farmàcia Clanxet Wust, Pilar;270.28502003908073;269.0;Pg Taulat - Diagonal Mar;117.59036388241145
104572360;41.4249947;2.2064167;La Pau;125.40400603074907;;192.57619519951703;2217.0;Guipúscoa - Extremadura;173.82533350677375
101687607;41.3917831;2.1168069;Palau Reial;669.3824682791956;Farmacia Marta Grau;382.1825406015671;165.0;Av. Pedralbes - Cavallers;188.02145795985294
93916685;41.403605;2.1070045;Reina Elisenda;1139.2602642950037;Farmàcia León Berrocal, Ronald Elisvan;614.8406212794392;2066.0;Camí de Lliçà;127.59000611287263
105410192;41.3943365;2.1733373;Tetuan;190.4311547021843;Farmàcia Mateu Bellés, M. Joana;81.18190170780919;1731.0;Metro Tetuan;72.56939415911164
102877142;41.4046424;2.2121882;Selva de Mar;454.4774917209945;Farmàcia Clanxet Wust, Pilar;78.01835863092552;269.0;Pg Taulat - Provençals;47.191677020896655
102226721;41.407;2.172144;Sagrada Família;358.6221721941548;Farmàcia Mérida Donoso, Salvador;124.5382779281482;1691.0;Indústria - Lepant;63.42612466758813
100208061;41.4063607;2.1720093;Sagrada Família;301.32792432951527;Farmàcia Audet Bonet, Gemma;76.9676625687531;323.0;Indústria - Lepant;126.82925493721773
101327556;41.4043127;2.1696261;Sagrada Família;360.4618362384304;Farmàcia Bozal de Febrer, Núria;21.98423031030066;553.0;Indústria - Nàpols;133.3775766975514
102718962;41.3948471;2.1607174;Diagonal;137.72129927023283;Farmàcia Teresa Castells Soler;114.5967099161352;924.0;Passeig de Gràcia - La Pedrera;54.68808982401102
103163283;41.4039541;2.1694103;Sagrada Família;377.6235422968866;Farmàcia Bozal de Febrer, Núria;30.32630889462681;553.0;Indústria - Nàpols;144.22384626730286
103163300;41.4035119;2.1731718;Sagrada Família;87.70156631685654;Farmàcia Bricio Alonso, Beatriu;90.51215894948488;676.0;Sagrada Familia;70.70426202978015
99197469;41.3941076;2.1612152;Diagonal;200.70960086096883;Farmàcia Teresa Castells Soler;109.02903411463234;924.0;Mallorca - Pg de Gràcia;103.93798894150027
