properties.name;latitude;longitude
Centre Educatiu Providencia del Corazón de Jesús;2.1572696;41.4384418
Col·legi Sant Josep Obrer;2.1025795;41.3757714
Maristes Sants - les Corts;2.1351685;41.3830105
Escola Duran i Bas;2.1337213;41.3855615
Escola Diputació;2.1559385;41.38152
Escola Pia Sant Miquel;2.1538516;41.3913671
Institut Poeta Maragall;2.1566469;41.3915076
Escola Barcelona;2.1325528;41.3819299
Escola Mallorca;2.148112;41.3911052
Escola Pràctiques;2.1389696;41.3808864
Escola Sagrada Familia;2.1473672;41.3912078
Col·legi Pare Manyanet;2.1379772;41.3889341
Paideia;2.1396024;41.3877391
Institut Sants;2.1398427;41.381222
Escola Castella;2.1645023;41.3848928
Escola Jaume I;2.1381429;41.380707
Escola Bogatell;2.194939;41.3933561
Escola Marinada;2.1696732;41.4408794
Institut Enric Borràs;2.227518;41.4435636
Escola Pia Balmes;2.1517906;41.3981237
Institut Escola Art. Oriol Martorell;2.1726148;41.4413804
Escola Isidre Martí;2.0858589;41.3796136
Institut de Pallejà;1.992033;41.4271136
Escola Jacint Verdaguer;1.9945801;41.4216984
La Salle Horta;2.1607315;41.4366339
Escola Els Pins;2.1443221;41.4353915
Institut Josep Pla;2.1644879;41.431826
Escola Torrent de Can Carabassa;2.1627593;41.4270556
Institut Ferran Tallada;2.1640621;41.4206723
Dominiques Barcelona;2.1711148;41.4008743
Institut Anna Gironella de Mundet;2.1433216;41.4367698
Escola Institut Mirades;2.1528941;41.4263624
Bemen-3;2.1717761;41.4281567
Bemen-3;2.1723042;41.4283292
FEDAC-Amilcar;2.1716931;41.4297167
Institut Vall d'Hebron;2.1403819;41.4230802
Escola Mossèn Jacint Verdaguer;2.0820647;41.3585928
Col·legi Maristes Sants - les Corts;2.1355481;41.3747739
EOI Esplugues (Vicenta Vives);2.0965023;41.3760148
Escola Joan Maragall;2.09651;41.3714949
Escola Can Vidalet;2.0982977;41.3735454
Escola Matilde Orduña;2.0982375;41.3760283
Eugeni D'Ors;2.098714;41.3743342
Escola Antoni Gaudí;1.9508592;41.2686844
Escola Splai;2.1739607;41.433273
CFA Madrid;2.1744698;41.4348174
Institut Barcelona-Congrés;2.1737833;41.4291632
Centre Educatiu Santa Anna - Eixample;2.1731869;41.3945505
Institut Escola Pepa Colomer;2.0893257;41.3206907
CEE Can Rigol;2.0919782;41.3198217
Escola Seat;2.1383577;41.3594102
Institut Lluís Domenech i Montaner;2.1336896;41.3587323
Institut Gorgs;2.1298167;41.4872526
Institut Forat del Vent;2.1474939;41.4855242
Escola Saltells;2.1290699;41.494748
Escola Serraparera;2.1326083;41.4957927
Escola Xarau;2.1378668;41.4962038
Escola Turó de Guiera;2.135349;41.4867506
Escola San Martí;2.1415422;41.4909973
Escola Doctor Ferran i Clua;2.1789276;41.4242515
Institut L'Alzina;2.1788867;41.4245405
Escola Bressol Manigua;2.1793167;41.4238671
Escola Mas Rampinyo;2.1786155;41.4983353
Escola Pere Vila;2.1813242;41.3916549
Institut Pau Claris;2.1817085;41.3913554
Institut Consell de Cent;2.1746684;41.373235
Escola Charles Darwin;2.1032171;41.3279332
Institut Estany de la Ricarda;2.1011018;41.3273039
Escola Sant Jaume;2.0998871;41.3282962
Escola Honorable Josep Tarradellas;2.1007994;41.328627
Institut Salvador Dalí;2.1027952;41.3305083
Escola Bernat Metge;2.0953263;41.322488
Escola Jacint Verdaguer;2.0984547;41.3238906
CFA Terra Baixa;2.0873743;41.32024
Institut Baldiri Guilera;2.0904912;41.3227261
Escola Mare de Déu del Carme;2.0939265;41.3242699
Escola Ramon Llull;2.0883082;41.3222388
Institut Ribera Baixa;2.0861159;41.3246551
Escola Galileo Galilei;2.0866035;41.3238587
Institut Les Salines;2.0844981;41.3189649
Institut Escola del Prat;2.0842042;41.3150694
Escola Jaume Balmes;2.0882439;41.3171195
Col·legi Nostra Senyora del Mar - García Lorca;2.0962777;41.3275876
Escola del Parc;2.0900573;41.3288994
Col·legi La Seda de Barcelona;2.0912134;41.330726
Col·legi Mare de Déu del Carme;2.0923568;41.3284972
Escola Joan Maragall;2.0970411;41.3299283
Institut Illa dels Banyols;2.1013874;41.331661
Institut La Llauna;2.2449329;41.4427312
Escola Progrés;2.2446859;41.4423021
Escola Ventós i Mir;2.2457485;41.4447426
Col·legi Badalonès;2.2461158;41.444787
Joan Maragall FP;2.2457546;41.4443481
Betúlia;2.2437553;41.4449057
Escola La Caixa;2.203398;41.4169399
Escola Bac de Roda;2.1938895;41.4160978
Escola Brasil;2.205128;41.415869
Escola Isabel de Villena;2.0970631;41.3840967
Escola La Salle Gràcia;2.1545517;41.4070409
Escola La Sínia;2.1425136;41.4954795
Escola Ventós i Mir;2.2455034;41.4431917
Institut Manuel Carrasco i Formiguera;2.174251;41.4267986
Escola Pia de Nostra Senyora;2.1676717;41.3913625
Escola Oficial d'Idiomes de Santa Coloma de Gramenet;2.2003918;41.4567146
Escola Sant Ildefons;2.0815832;41.3620381
Escola de la Concepció;2.1683723;41.3955291
Escola del Mar;2.1701453;41.417883
Escola Torrent d'en Melis;2.1724076;41.4171493
Escola Alexandre Galí;2.0856088;41.3656672
Escola Torre de la Miranda;2.0857833;41.3626675
Fundació Akua;2.0040245;41.3598299
Col·legi Maristes la Immaculada;2.171918;41.398533
Institut Pedraforca;2.1117257;41.3728141
Escola Pia de Sarrià-Calassanç;2.1240115;41.407505
Escola Canigó;2.0807197;41.3856381
Escoles Maria Ward;2.2169224;41.441314
Escola Collserola;2.1468291;41.4868842
Escola Guinardó;2.1779626;41.4199693
Escola El Solell;1.9656295;41.4148912
Escola Bellvitge;2.1075025;41.3510867
Mare de Déu del Roser Les Planes;2.092468;41.4282471
Escola Pau Casals;2.0637292;41.3638002
Centre d'Estudis Montseny-Poblenou;2.210717;41.4103443
Escola Ferran de Sagarra;2.2099872;41.4451969
Institut Can Peixauet;2.2091554;41.4447054
Jesuïtes Bellvitge - Centre d'Estudis Joan XXIII;2.107861;41.3500265
Escola Ramon Muntaner;2.1095349;41.3492381
Institut Joan Fuster;2.1857369;41.418687
Institut Isaac Albéniz;2.2456999;41.4573977
Institut Pompeu Fabra;2.2447696;41.4573473
Escola d'Art i Superior de Disseny Pau Gargallo;2.245316;41.4561709
Escola Les Ciències;2.2335864;41.4597404
Escola Montigalà;2.2251428;41.4560058
Escola Nabí;2.1013938;41.4162638
Escola Francesc Escursell i Bartalot;2.1522232;41.4970081
Institut Infanta Isabel d'Aragó;2.1995707;41.4160322
Institut Joan d'Àustria;2.1988207;41.4159379
Escola La Palmera;2.2040582;41.4204228
Escola Marina;2.283751;41.4730613
Col·legi Pureza de María;2.0724419;41.4958281
Escola Thau Sant Cugat;2.0697521;41.4923949
Escola especial Nostra Senyora de Montserrat;2.13598;41.3579506
Escola Joaquim Ruyra;2.2145387;41.4111844
Escola Maria Montessori;2.034296;41.4844434
Jesús Maria;2.1677533;41.4405913
Escola El Palau;2.016379;41.4116299
Escola Parc de la Ciutadella;2.1879567;41.385098
Escola Bernat Metge;2.1114077;41.3542697
Institut Maria Canela;1.9237337;41.4769292
Centre Escolar Valldaura;2.1796983;41.442302
Centre Escolar Valldaura;2.1801431;41.442175
Escola Víctor Català;2.1768643;41.4394276
Institut Escola el Molí;2.180928;41.4449206
Escola Santiago Rusiñol;2.1804496;41.4396737
Escola Tibidabo;2.1831798;41.4428135
Institut Barri Besòs;2.212914;41.4117177
Institut Bernat Metge;2.2017103;41.4231937
Institut Rambla Prim;2.2122613;41.4158908
Institut Nou Barris;2.1806561;41.4404995
Escola Àgora;2.1683748;41.437516
Escola Pau Vila;2.1423897;41.3667417
Escola Bon Salvador;2.0468006;41.3760311
Escola Garbí Pere Vergés;2.2524042;41.4758191
Escola Bufalà;2.2430942;41.4635084
Escola Salvador Espriu;2.2479252;41.4644939
Institut Escola Sant Jordi;2.251055;41.4658735
Institut Pau Casals;2.2255459;41.4497149
Escola Jesús Maria;2.2236639;41.4488317
Escola Miguel Hernández;2.2212449;41.4492678
Escola Artur Martorell;2.2514984;41.4562257
CFA L'Alzina de Cerdanyola;2.1365915;41.4951203
Escola Proa;2.139842;41.3715734
Escola Heura;2.1639618;41.4270462
Escola Font d'en Fargas;2.1657573;41.422732
Escola Badalona Port;2.2408348;41.4387872
Institut Duc de Montblanc;2.0219267;41.4862531
Escola Ramon Llull;2.0222407;41.4873062
Escola Cintra;2.1686683;41.3783238
Joan Maragall;2.2388459;41.4420652
Escola Ramon Casas;2.1344657;41.3591409
Escola Massana;2.1711098;41.3810102
Col·legi Sant Andreu Natzaret;2.2462703;41.4489425
Col·legi Sant Andreu Natzaret;2.2478334;41.4473495
CEE Escola Llevant;2.2464485;41.4486716
Escola Les Fontetes;2.1491821;41.4903779
Escola Lola Anglada;2.2544266;41.4573996
Escola Folch i Torres;2.2225218;41.4520572
Escola Joan Coret;2.2209216;41.4548598
Institut Ventura Gassol;2.2202712;41.454238
Institut La Guineueta;2.1718296;41.4425669
Escola Santa Maria dels Apòstols;2.2105071;41.4183948
Escola Margarida Xirgu;2.2282137;41.4413632
Mare de Déu de la Salut;2.2276468;41.440647
Monlau - centre d'estudis;2.1906874;41.4229392
Institut La Ferreria;2.1772632;41.4843151
Escola Garigot;1.990703;41.2720272
Zürich Schule;2.1041422;41.3935917
Escola Nadal;2.0450903;41.383255
Mare de Déu de la Mercè;2.0482186;41.3805076
Lycée Français de Gavà - Bon Soleil;1.9998438;41.2724491
Escola Lluís Vives;1.9763818;41.2756612
Institut Les Marines;1.982254;41.2783797
Escolàpies Llúria;2.1682917;41.3940548
Escola Marianao;2.0221114;41.3456744
Escola Poblenou;2.197287;41.4098815
Escola Estel;2.0224512;41.4101741
Escola Sant Climent;1.9918593;41.3378504
Escola Casas;2.1924689;41.4083094
Escola La Farigola del Clot;2.1882256;41.4062606
CFA Montserrat Roig;2.1974045;41.404256
Escola Rambleta del Clot;2.1899266;41.4105152
Institut Sant Martí de Provençals;2.1959792;41.4217098
Escola Turó Blau;2.1911484;41.4280443
Escola Els Porxos;2.1980924;41.4148752
Centre d'educació Adela de Trenquelleón;2.1946285;41.413927
Institut Salvador Espriu;2.1879793;41.4056515
Escola Provençals;2.1947719;41.4079567
El Petit Santa Maria;2.2076861;41.4224818
Institut Salvador Seguí;2.1964324;41.4231142
Centre Educatiu Sagrat Cor Besòs;2.2182147;41.4154515
Escola L'Arc de Sant Martí;2.1996666;41.4227563
Escola Concepción Arenal;2.2154878;41.4173
Escola La Flor de Maig;2.1960771;41.402564
Escola Eduard Marquina;2.2142386;41.4182805
Escola Vila Olímpica;2.2028003;41.393841
Escola 9 Graons;2.1687204;41.4011804
Escola Prim;2.2119155;41.4200093
Centre Educatiu Grèvol;2.2113921;41.4049924
Escola Pia Sant Antoni;2.1641305;41.3783075
Escola Mafalda;2.1930146;41.4066983
Escola Vicente Ferrer;2.0265968;41.3461027
Escola Àngels Garriga;2.1678426;41.4259952
Escola Rius i Taulet;2.1501889;41.4080823
Escola Súnion;2.1452213;41.4104739
SIL;2.1356016;41.413062
Institut Pedralbes;2.1060995;41.3861324
Escola Cor de Maria-Sabastida;2.1685805;41.4284214
Institut Escola Viver;2.1859254;41.472742
Institut de Montserrat Miró i Vila;2.184961;41.4884912
Escola Font Freda;2.1898128;41.4899048
Escola dels Encants;2.183415;41.4038207
Escola Túrbula;2.212268;41.4247727
Escola La Pau;2.2093852;41.4240212
Escola l'Univers;2.1622367;41.4028762
Institut Escola Pallaresa;2.210551;41.4580103
Institut Numància;2.2117293;41.4579057
Escola de les Aigües;2.1667159;41.4091432
Escola Antoni Tàpies;2.0367184;41.341754
Escola Amat Verdú;2.0358344;41.342934
Institut Joaquim Rubió i Ors;2.036375;41.3423533
Escola Montseny;2.1484433;41.4155867
Escola Baldiri Reixac;2.1524152;41.4135049
Escola Barrufet;2.0360723;41.3390888
Col·legi Joan Bardina;2.0417008;41.343741
Escola Salesiana Mare de Déu dels Dolors;2.036065;41.3485029
Escola Ciutat Cooperativa;2.0338546;41.3569388
Escola Casablanca;2.0388767;41.3323341
Escola Montbaig;2.033746;41.334137
Escola Josep Maria Ciurana;2.0286003;41.3561332
Institut Escola Antaviana;2.1789068;41.4486025
Institut Escola El Til·ler;2.2033846;41.4388906
Escola Eulàlia Bota;2.1924202;41.4448438
Institut Escola Rec Comtal;2.1928688;41.4502734
Escola Fort Pienc;2.182542;41.3952166
Escola Arquitecte Gaudí;2.0415398;41.387586
Institut Teresa Pàmies;2.1679195;41.4082473
Institut de Sant Just Desvern;2.0750025;41.3888378
Institut Montserrat;2.1434145;41.4015514
Col·legi Alemany de Barcelona - Deutsche Schule Barcelona;2.089215;41.382876
Escola Can Fabra;2.1921352;41.4335168
Escola Bon Pastor;2.2042716;41.4358414
Escola Poeta Foix;2.1460562;41.4024147
Institut Escola La Mina;2.221101;41.4177368
Escola Pompeu Fabra;2.2212126;41.4311031
Escola Augusta;2.1413008;41.3970117
Escola Sant Miquel;2.0754031;41.364654
Institució cultural d'Arts i Humanitats;2.0725306;41.3668301
Escola Montserrat;2.0748121;41.3773382
Escola Betània;2.0772915;41.3574648
Escola L'Areny;2.0731793;41.3508208
Escola Els Pins;2.068809;41.3552862
Institut Esteve Terradas i Illa;2.0764162;41.3555871
Escola Antoni Gaudí;2.0788791;41.3561583
Escola Mediterrània;2.0784619;41.3559234
Col·legi Sant Antoni Maria Claret;2.0785822;41.3655248
Escola Montserrat;2.0801334;41.3668976
Institut Maria Aurèlia Capmany;2.0807952;41.365757
Institut Apel·les Mestres;2.0903553;41.3643064
Escola Pablo Neruda;2.0877143;41.3656344
Escola Lola Anglada;2.0778102;41.374488
Institut Severo Ochoa;2.0893408;41.3740868
Col·legi Natzaret;2.0810247;41.3731897
Escola Gras i Soler;2.0802065;41.3736708
Institut Francesc Macià;2.0714904;41.3582696
Institut La Mallola;2.0838839;41.3802918
Institut Jaume Salvador i Pedrol;2.0628479;41.369726
Institut Francesc Ferrer i Guàrdia;2.0635168;41.3691931
Escola Espai 3;2.0626974;41.3689566
Escola Joan Perich i Valls;2.0659723;41.374675
Escola Prat de la Riba;2.0921125;41.3714094
Escola Folch i Torres;2.0851567;41.3694257
Escola Santa Maria de Cervelló;1.9557374;41.3935691
Institut de Cervelló;1.9656809;41.3952308
Escola Nova;1.9662881;41.3960622
Institut Quatre Cantons;2.2001175;41.404402
Escola Pere IV;2.2002222;41.4048554
Institut d'Alella;2.3000968;41.4947565
Escola Fabra;2.2984966;41.4945688
Institut Tretzevents Waldorf-Steiner;2.077721;41.4444377
Escola Gassó i Vidal;2.1616001;41.5000906
Escola Xirinacs;2.1448981;41.383521
Institut Doctor Puigvert;2.1935231;41.4458337
Institut Montjuïc;2.1452475;41.3554882
Institut Escola d'Hoteleria i Turisme de Barcelona;2.1808804;41.4336095
Institut Valldemossa;2.1802295;41.4337618
Institut Flos i Calcat;2.181386;41.4379007
Escola Mercè Rodoreda;2.1858378;41.4460713
Institut Tecnològic de Barcelona;2.1862917;41.4534745
Col·legi Sant Gabriel;2.2162645;41.4306265
Escola Jesús, Maria i Josep;2.1918955;41.4285228
Institut Escola ARTS;2.1437692;41.3740152
Institut Ramon Berenguer IV;2.2072471;41.4647069
Escola Antoni Balmanya;2.1823591;41.4164919
Escola Antoni Balmanya;2.1823591;41.4164919
Escola Pompeu Fabra;2.1834203;41.4216766
Institut Can Mas;2.1657703;41.4989768
Institut Escola El Martinet;2.1668617;41.4934451
Escola Anselm Clavé;2.1562944;41.4991843
Escola Carles Buïgas;2.1484208;41.4857269
Institució Montserrat SCCL;2.1376253;41.3745938
Col·legi Singuerlin;2.2046813;41.4606045
Institut Terra Roja;2.2167049;41.4442519
Institut Les Vinyes;2.2047377;41.4570596
Escola Antoni Gaudí;2.2157742;41.4430853
