properties.name;properties.route_ref;latitude;longitude
Major - Mercat;78 L46 L52 N15;2.0548688;41.3669273
Major - Riera d'en Nofre;78 L46 L52 N15;2.0526908;41.3689736
Rambla Josep M Jujol - Riera d'en Nofre;78 L46 L52 N15;2.0513909;41.3674725
Pl. de la Ciutat Gegantera;78 L46 L52 N15;2.0542657;41.3643989
Creu d'En Muntaner - Pg. del Canal;L46 N15;2.0558433;41.3714424
Av. Generalitat - Torreblanca;L46;2.0562775;41.3753827
Plaça de la Pau;63 L46 N12;2.0601809;41.3774141
CAP Sant Just Desvern;63 157 L21 L46 L77 X30 N12;2.0698747;41.3826394
Casal de Joves;63 157 JT L10 L46 E30 N12;2.0714042;41.3827491
Tudona - Pl. Parador;L46;2.073192;41.3830532
Walden;157 L77;2.0672817;41.3795318
Trambaix T3;;2.0746923;41.3787262
El Parador;63 157 JM JT L77 L21 X30 N12;2.0741677;41.3824606
UAB - Escola Postgrau - FGC;;2.1027112;41.5021428
Plaça Cívica;;2.1048621;41.5026702
Sant Joan Despí - Centre;E79 E43;2.0531469;41.3640442
Via Augusta - Calvet;68 V11 N7;2.1390399;41.3978035
Av Barcelona - Rius i Taulet;78 L46 L77 X43 N15;2.0607611;41.3668197
Poliesportiu Francesc Calvet;78 L46 L77 X43 N15;2.0640904;41.3679519
Carretera de Barcelona / Can Xorra;;1.9313054;41.4178668
Carretera de Barcelona / Carrer de la Font Vella;;1.925464;41.4169931
Carrer d'Andreu Cerdà 11;;1.9229158;41.4175152
Pont 6;;1.6053633;41.5725172
Av Gaudí - Residència Pare Vilaseca;;1.6080077;41.5837756
Av Gaudí - Sentit Santa Margarida;;1.6063989;41.5822843
Av Gaudí - Sentit Nord;;1.6065658;41.5822675
Igualada;L0092;1.6313896;41.5774777
Igualada 25;;1.6348203;41.5721479
Can Mossarro (Virgo-ctra.capellades);;1.7345631;41.5353934
Carrer Igualada - Plaça Vistalegre;;1.6059622;41.5787719
Rambla General Vives 17;;1.6193906;41.5792084
Av. Barcelona 103;;1.6267817;41.5837408
Av. Caresmar 35;;1.6281305;41.5766806
Av. Caresmar - Mercat;;1.6254854;41.5771303
Estació FGC;;1.7541776;41.5259586
Av del Coll del Portell - Sostres;116;2.1514763;41.4106096
Esglèsia St. Bartomeu;MB3;2.0380962;41.4263829
Plaça Europa;;2.1280032;41.4858831
Carrer Serra de Galliners / Carrer Castella;;2.1261415;41.4943552
Carrer Altimira;;2.1413088;41.4904606
Palau Reial;;2.1200159;41.3892322
Plaça Reina Maria Cristina (L3);e22;2.1264139;41.3882066
parada;;1.7638507;41.5119675
parada;;1.7714442;41.5075866
Av Pedralbes - Bisbe Català;N7;2.114443;41.3957598
Escales de Llobera;127;2.1764236;41.4498309
Llobera - Baixada del Pedregar;127;2.1751635;41.4494349
Oasis;;1.8064452;41.2380813
Passeig de Vilafranca amb Passeig de Vilanova;;1.8067522;41.2386419
Av Flor de Maig - Carrer Valldaura;A7;2.1297444;41.4777106
Parc dels Ànecs amb Plaça de Salvador Espriu;;1.7775203;41.2576791
Rugby;;1.800701;41.241548
CF La Ginesta - Singuerlín;;2.2081298;41.4628861
Francesc Macià - Pallaresa;;2.2048088;41.455883
Illa Fantasia;;2.359857;41.5020173
Manresa Estació d'autobusos;722 708 L1446;1.8333369;41.731902
Bellesguard - Josep Canaleta;196;2.125048;41.4111684
Carles Riba - Bellesguard;196;2.1260371;41.412284
Parc Serralada de Marina;B14 B80 B81 N8;2.2046383;41.4656732
Can Franquesa - Centre Cívic;B14 B80 B81 N8;2.2007071;41.4650085
Camí de la Font Freda - Girona;155;2.1878017;41.4905937
Hospital Can Ruti;;2.2372897;41.482752
Av. Tarragona / Av. Vendrell;;1.6915306;41.3393158
Carretera d'Igualada amb Carretera de Vilafranca;;1.5327171;41.4706026
Santuari - La Murtra;22 V19 N4 N5;2.1551232;41.4198463
IES Ferran Tallada;22;2.1618576;41.4207599
Gran Vista - Turó de la Rovira;22 119 N4 N5;2.1641017;41.4202403
Rofes;;1.5673009;41.4955338
Carrer de la Carretera 83;;1.7018744;41.4511056
Estació de Rodalies;;1.79443;41.4208569
Av. Via Augusta, Av. d'Europa;;2.054563;41.4847914
Polígon Industrial Sud (Av.Generalitat/C.Perú);;2.0049878;41.433002
Av. Generalitat - Dr. Trueta;PA1;2.0075579;41.4365629
Ferran Muñoz - Baronia d'Eramprunyà;902a 902b 902c;1.9302842;41.3297014
Av. Torres Vilaró - Puigllançada;902a 902b 902c;1.9356429;41.3284544
Sant Llorenç;;2.0311051;41.5787317
Plaça de la Pola;;2.0328176;41.5765533
Plaça de la Pola;;2.0327415;41.5765848
Escola d'Hosteleria;;2.0391186;41.5833815
Collada - Mallorca;902a 902b 902c;1.946727;41.3278536
Carretera Rellinars;1;2.0092816;41.5704336
CAP Rambla;;2.0051513;41.5680499
Mercat;;2.0078113;41.5634166
Autobusos Interurbans;;2.0079425;41.5569154
Av de la Platja - Pont d'Eduard Maristany;H14;2.2295174;41.4254335
Residència Joan XXIII;102;2.1559903;41.4649933
Residència Novaurora;902c;1.9159319;41.3372442
Terrassa Industrial;;2.0156923;41.5577483
Coll de la Ventosa;102;2.1588239;41.4497309
Antoni Pujades - Parc de Ca n'Oller;155;2.1716827;41.4816636
