Centro_comercial,longitude,latitude
C.C. Country Plaza,10.1436495893962,-64.6888958526577
Centro profesional Cafaro,10.1371330783317,-64.6857970745312
Centro comercial doña Margot,10.1265748371164,-64.6822974547752
Centro comercial areopuerto,10.1279430462102,-64.6842231848026
C.C. Doña María,10.1249348764557,-64.6837419312745
Parc Vilanova,41.2380335983563,1.72790031522792
,10.1651370312962,-64.6782476933626
CC Galerías,10.1116907243198,-64.6755954451438
Ametller Origen,41.9432620872342,2.25249979442043
Galerias Unicentro,41.4923191742206,2.1399700387639
Centro comercial dorado,10.15111925,-64.6959441
Centro comercial dorado,10.1516415,-64.6963456
Diagonal Mar,41.4098141010917,2.21662537541216
Centre comercial Esclat,41.8822519,2.2427069
El Triangle,41.3858984,2.1690931
Vorwerk Thermomix Feelina,41.3802904,2.1533732
Dorven,41.3801058,2.1531103
Centre Comercial Sant Roc,41.639568,2.7346147
Produsca,10.1165682,-64.6774919
C.C. Damasco Plaza,10.1489749,-64.6935793
,41.3627062,2.0822694
C4 Optics,41.4123439,2.1396766
Galaxia,41.3993411,2.2037098
Alejandra,41.4068592,2.1397976
Travessa outdoor,41.3778646,2.1352184
Galeries Pins,41.6385105,2.7323508
Galeries Pins (Sta. Susanna),41.6338997,2.7211668
Bulevar Diana,41.2233164,1.7253474
rafay fuit i verduras,41.3537633,2.1163831
DHL,41.3136518,2.139425
DHL,41.313764,2.1392927
Mercado Campesino,10.1255917,-64.656918
mattress group (gersan),41.639018,2.2831075
C.C. Cristal Plaza,10.1704965,-64.6830696
Cash Converters,41.4193275,2.1817101
Galeries Mercacentre,41.4985157,2.1568771
Cash Converters,41.3819923,2.1628753
tokomusic,41.3843498,2.1703044
Galeries La Llagosta,41.5125866,2.1941989
UME Muntaner Unió Musical,41.3974833,2.145227
Galeries Unicentro,41.4904423,2.1459088
Centre comercial Sant Jordi,41.6633444,2.2694133
Galeries Rubí,41.4908044,2.0316092
La Maquinista,41.4399813,2.1985308
Galeries Gràcia,41.5479014,2.1068415
C.C. Country Plaza,10.1436238,-64.6888986
Galerias Maldà,41.3835467,2.1730548
Centre Comercial Can Montcau,41.6033353,2.2599943
El Corte Inglés,41.5544915,2.0979942
Sabway,41.5486241,2.1092596
Centro Comercial Zeus,10.1484204,-64.693292
C.C. Terrazas del Mar,10.1539387,-64.6311261
C.C. Rivera Real,10.1563987,-64.6880853
El Corte Inglés,41.3547954,2.0880946
Galerías Olimpia,41.3760427,2.16592
,41.3856763,2.146858
Centro comercial Jus,10.1401404,-64.6877229
Centro comercial los alpes,10.1363331,-64.6905151
Minicentro Leni,10.136201,-64.6910918
Centro comercial la llovizna,10.134131,-64.6858293
Centro comercial Ivon center,10.1347568,-64.6863657
Caprabo,41.3421255,2.0399151
CC decomar,10.1418487,-64.703973
Centro corporativo costa del mar,10.1516507,-64.7047036
Parque comercial paseo real,10.1568571,-64.7020106
,10.1672883,-64.6776459
Centro comercial,10.1657584,-64.678244
,10.152518,-64.6825261
oficentro,10.1486863,-64.6742964
centro comercial Cajigal,10.1416202,-64.6816428
Centro comercial Karita center,10.1352042,-64.679446
CC Marco Polo,10.135794,-64.6905774
cc pasaje colonial,10.1350299,-64.6851226
,10.1322351,-64.6850295
CC plazas boulevar,10.1349905,-64.68453
CC Azucena II,10.1380506,-64.6885531
CE DYSSEY,10.1228888,-64.6834353
,10.1443768,-64.6864864
CE tricentenario,10.1487782,-64.6891647
,10.1203764,-64.6766461
CC RA-RA-RA,10.1173689,-64.6773434
Galeries Comercials,41.7258415,1.8226029
,10.1690018,-64.6485472
Centro empresarial Vidoño,10.1644925,-64.6437958
,10.1552177,-64.6417332
Muji,41.3902297,2.1666138
DISTAR centres del descans,41.4048334,2.1635853
Muji,41.3898983,2.1368066
HEMA,51.9810554,4.5819774
HICAP Selfspace,41.7231645,1.816203
,41.7232151,1.8231097
Basar Xines,41.2008963,1.6505603
HOME+ EL GRAN BAZAR,41.3675814,2.1404756
