Ferrocaril;latitude;longitude
Antic Hospital de S. Jaume i Sta. Magdalena;2.4489569;41.5396821
Ciutat de la Justícia;2.1330085;41.3632435
Piera;1.7544148;41.5258773
Sitges;1.8097337;41.2392039
Garraf;1.9026021;41.2543042
Platja de Castelldefels;1.9572765;41.2670772
Castelldefels;1.9793953;41.2787125
Gavà;2.0103509;41.3030507
Sant Andreu;2.1938816;41.4362394
El Clot;2.1874108;41.4090696
Martorell - Enllaç;1.9186015;41.4840287
Cornellà;2.0705574;41.3575183
Martorell - Central;1.9257161;41.4793492
Martorell Central;1.9266994;41.4790936
Sant Sadurní d'Anoia;1.7946769;41.4203274
Vilafranca del Penedès;1.7033853;41.3446233
els Monjos;1.6600909;41.3145948
Mataró;2.4455242;41.5330483
el Masnou;2.3104186;41.4769061
Montgat;2.2722059;41.462907
Badalona;2.2491007;41.4457071
Sant Cugat Centre;2.0782386;41.467969
Sant Joan;2.0768713;41.4903694
Cerdanyola del Vallès;2.1476159;41.4926347
Cerdanyola Universitat;2.1150935;41.4969877
Sant Cugat Coll Favà;2.0797037;41.4811573
Rubí Can Vallhonrat;2.0373677;41.4753115
Molins de Rei;2.0209874;41.4099448
Pineda de Mar;2.6936105;41.6223602
Montmeló;2.2453803;41.5497166
Granollers Centre;2.291612;41.5996549
Calella;2.6665744;41.6147084
Sant Pol de Mar;2.6246461;41.601631
Canet de Mar;2.581146;41.586446
Arenys de Mar;2.5494194;41.5774115
Baixador de la Font;1.7240247;41.2140697
Malgrat de Mar;2.741404;41.641532
Montcada i Reixac;2.1882527;41.4840483
les Franqueses - Granollers Nord;2.294442;41.6172314
Cardedeu;2.3561758;41.6364191
Llinars del Vallès;2.4046011;41.637913
Sant Celoni;2.4909668;41.6856507
Gualba;2.5389321;41.7179554
Sant Vicenç i Castellgalí;1.8595694;41.6679378
Sant Vicenç de Castellet;1.8623229;41.6688601
Castellbell i el Vilar - Monistrol de Montserrat;1.86895;41.6288394
Terrassa Estació del Nord;2.0157209;41.5703742
Terrassa Estació del Nord;2.0142622;41.5698673
Sabadell Nord;2.0965483;41.5616873
Montcada Bifurcació;2.1797157;41.4704564
Sant Boi;2.0429512;41.3484877
Colònia Güell;2.0316069;41.3640986
Santa Coloma de Cervelló;2.0239033;41.3701967
Sant Vicenç dels Horts;2.0123829;41.3880958
Sant Andreu de la Barca;1.9730931;41.4468421
el Palau;1.9625576;41.4556438
Martorell - Vila | Castellbisbal;1.9391571;41.476454
Abrera;1.9068327;41.5225925
Olesa de Montserrat;1.8879099;41.5414667
Monistrol de Montserrat (FGC);1.8503095;41.6091192
Castellbell i el Vilar;1.8547702;41.6405367
Manresa Alta;1.833017;41.7322156
Manresa-Baixador;1.8277403;41.7314552
Balenyà - Tona - Seva;2.2472578;41.8418882
Centelles;2.2228056;41.7994142
Sant Martí de Centelles;2.2491882;41.7607186
Figaró;2.2715584;41.7208879
la Garriga;2.2886565;41.6844864
les Franqueses del Vallès;2.2949726;41.6298517
Granollers - Canovelles;2.2765761;41.6112378
Parets del Vallès;2.2259136;41.5560433
Mollet-Santa Rosa;2.2059673;41.5364637
Montcada-Ripollet;2.1821038;41.4967377
Torelló;2.2599804;42.0521388
Manlleu;2.2691128;41.9998571
Ambulatorio Boyaca V;-64.6733445;10.1697694
Cruz Roja Venezolana;-64.6706227;10.154622
Clínica integral de la mujer;-64.6697087;10.1660981
Dispensario Los Mesones;-64.6716753;10.0901744
Laboratorio SunnyLab;-64.6771852;10.1522206
Ernest Lluch;2.1120352;41.3758955
Tordera;2.7194328;41.7070583
Mollet - Sant Fost;2.2175419;41.5334748
CAP Avinyó;1.970583;41.8655131
Rubí Centre;2.031646;41.4861823
Mira-sol Centre;2.0619136;41.4692228
Hospital General;2.0464405;41.4762458
Les Fonts;2.0334638;41.5287069
Vallparadís Universitat;2.019055;41.563362
Terrassa Nacions Unides;2.0133394;41.5803262
Valldoreix;2.0683322;41.4577151
la Floresta;2.0731985;41.4448629
les Planes;2.0916602;41.4275098
Baixador de Vallvidrera;2.0969165;41.4200755
Sant Quirze;2.0888542;41.530172
Bellaterra;2.0905894;41.5008421
la Creu Alta;2.1003325;41.5550705
Sabadell Parc del Nord;2.0900686;41.5712132
Vilanova del Camí;1.6413821;41.5736925
Capellades;1.6953521;41.5215563
Vallbona d'Anoia;1.7085087;41.5203435
Masquefa;1.812501;41.502957
Can Parellada;1.8307697;41.5022412
Sant Esteve Sesrovires;1.8725415;41.4977253
Funicular Plaça Doctor Andreu;2.1311043;41.416459
Funicular Parc d'atraccions Tibidabo;2.1194967;41.4213823
Centre mèdic N25;1.8425474;41.7228705
;2.0142445;41.3126044
;2.018367;41.3216302
;2.0143356;41.3233325
;2.0089699;41.3205026
;2.0094311;41.3174899
;2.0186832;41.32205
Mercat Nou;2.1333313;41.3727946
Plaça de Sants;2.1353228;41.37563
Torrassa;2.1156299;41.3680166
Unitat d'Hospitalització de la FSSJ;1.6187203;41.5826044
Fundació Eulàlia Torras de Beà;2.1636033;41.400939
Hospital Creu Blanca;2.4319885;41.5326468
