Teatro ;longitude;latitude
Teatre de la Unió;41.4716848656613;2.08028057199961
L'Auditori;41.3985788860742;2.18538380625722
Sant Andreu Teatre;41.4304760193784;2.18845186992752
Teatre Municipal Josep Maria de Segarra;41.4508739159044;2.20496803769711
Teatre la Passió d'Esparreguera;41.5346781783514;1.87243900364583
Sala Beckett;41.4045793256123;2.19959891271195
Casino l'Aliança del Poblenou;41.3998731625429;2.20337694409708
Teatro Principal;41.378500567327;2.17496671996283
;41.3802923115741;2.17126049649522
Gran Teatre de la Passió d'Olesa;41.5425832587652;1.89469522332612
Gran Teatre del Liceu;41.3801477371795;2.17341637453168
Teatre de La Peni - Joventut Catòlica;41.4130747503039;2.0195168737347
La Sala d'Argentona;41.5542240004614;2.40351284481256
Barcelona Teatre Musical;41.371569371718;2.15503765792573
Teatre Nacional de Catalunya. Sala Tallers;41.4004818242203;2.18504816754465
Teatre Nacional de Catalunya;41.3999491715023;2.18574530955227
Teatre Nuria Espert;41.4490206223076;1.96974249323802
Teatre Municipal de Berga;42.1025387491145;1.8434600059822
Casa de Cultura Sant Francesc;41.6091789974284;2.28810306741297
L'Ateneu;41.6874988507193;2.48939241398031
Teatre Lliure;41.3706039690083;2.15708658531517
;41.395636825706;2.12641682390766
;41.4733335873318;1.9305904014681
El Foment;41.474356759743;1.92748603435513
Teatre Auditori de Granollers;41.6109703830763;2.28679649478233
Teatre Conservatori;41.725067188914;1.82349747178702
"Societat Cultural ""La Vicentina""";41.392844257644;2.01025094792701
Can Gomá;41.5428551831991;2.21490640964299
Ateneu Familiar;41.3940970589534;2.01101305024918
Teatro Atrium Viladecans;41.3146806539139;2.01319236339294
;41.3676429971602;2.15500322457712
Teatre Grec;41.3695189562919;2.15966021855698
Teatre Arnau;41.3753456415372;2.17011873833265
Conservatori Superior de Música del Liceu;41.3761513055899;2.17089084892287
Teatre Mercat de les Flors;41.3712264992179;2.15668485089735
Sala Upload;41.3683087576025;2.14710478788301
Teatre Kursaal;41.7279244052834;1.82305106063793
Nau Cultural;41.4582799154979;2.06273076106239
auditori teatre de Calldetenes;41.924018672223;2.28407773662289
Auditorium municipal;41.486643606512;2.1883010892887
Coliseum;41.3883128897488;2.16599242345956
Sala Pal·ladius;41.4231892326693;1.9981337799837
El Local;41.2599825356712;1.7719926767618
Centre Parroquial;41.2608903903138;1.77222460458958
Robert Brillas;41.3773294285435;2.08467897211018
Teatre La Massa;41.5180111973276;2.3583724958524
Sala Cabanyes;41.542151476876;2.44377872211713
Teatre Monumental;41.5437893282956;2.44218083076159
Sala La Canal;41.8518482112626;2.23005081723789
Teatre Modern;41.3303300405165;2.09271535770399
L'Artesà;41.3297076397502;2.09533240712511
Societat Aliança Palmarenca;41.4133918447765;1.96556159000587
Circ Cric;41.7053799946923;2.44074491150344
l'Atlàntida Centre d'Arts Escèniques d'Osona;41.9284468564329;2.25959989540148
Centre Católic;41.3920545148667;2.00847513959059
Taller Masriera;41.395716409498;2.17274255468809
Teatre Auditori del Mercat Vell;41.4967975871725;2.15816648843273
Auditori Sant Martí de Provençals;41.4159669508163;2.19915899050124
Teatre-auditori Agustí Soler i Mas;41.7485806997173;1.90829589395879
Palau de la Música Catalana;41.3875853029497;2.17522576636188
Teatre Margarida Xirgu;41.4499490562335;2.24653327358777
Teatre Zorrilla;41.4491812774609;2.24922310460284
Teatre Clavé;41.6995531369652;2.71906669420668
El Centru;41.7515116283384;2.11903579084822
Nau Ivanow;41.4201001383357;2.18991228012029
L'Odeon;41.5903122642081;2.58238628146358
Anfiteatre;41.5472020923046;2.10655144989507
El Campanar;41.6237816850061;2.27804272549405
Sala Sindicat;41.8628288611032;1.87468232645116
Teatre Cirvianum;42.0472692249141;2.26407752517982
Escola de Circ Ateneu Nou Barris;41.4491354848777;2.17993515600993
Sala Poblenou. Centre Moral i Cultural;41.4009987153901;2.20022348516408
Centre civil l'Ateneu;41.3956889618178;1.95774388745034
Centre Cultural de Bellavista;41.6206195139665;2.29959352853909
Auditori;41.4534419404133;2.20951440557468
Espai Rusiñol;41.9999231103962;2.27558439294175
Amfiteatre;41.5510114793465;2.0908852747451
Sala Albéniz;41.4819831067296;2.26824675635788
