iter	RMSE
325	0.2483885923
326	0.24816117
327	0.2480291381
328	0.2480121772
329	0.2478259445
330	0.2477252317
331	0.2476104347
332	0.2475052257
333	0.2474892909
334	0.2474803309
335	0.2472581114
336	0.2471405865
337	0.2469946248
338	0.2469858823
339	0.246895565
340	0.2467642341
341	0.2466687986
342	0.2465686063
343	0.2464279495
344	0.2463055439
345	0.2461667343
346	0.2461021522
347	0.2460876401
348	0.2459660191
349	0.245850012
350	0.2457538106
351	0.245746445
352	0.2456100001
353	0.245495265
354	0.2454158624
355	0.2453063489
356	0.245202656
357	0.2450187211
358	0.2449323499
359	0.2448483659
360	0.2446576298
361	0.2445265486
362	0.244397551
363	0.2442202259
364	0.2440947295
365	0.2440813853
366	0.2439567723
367	0.2439502424
368	0.2439433391
369	0.2438225969
370	0.2437362304
371	0.243567682
372	0.2434077511
373	0.2433524415
374	0.243252033
375	0.243245365
376	0.2431407105
377	0.243134794
378	0.2430195065
379	0.242933912
380	0.2428281232
381	0.2427811425
382	0.2426309908
383	0.2424766683
384	0.2424051424
385	0.2422891784
386	0.2421835156
387	0.2421596348
388	0.2420106044
389	0.2419106473
390	0.2418376503
391	0.2418262455
392	0.2417141316
393	0.2415721905
394	0.2415158351
395	0.2415097203
396	0.2414102679
397	0.241319762
398	0.241280691
399	0.2412756953
400	0.2412043245
401	0.2411032393
402	0.2409305829
403	0.2408261284
404	0.2407158085
405	0.2406583882
406	0.2405729724
407	0.2404956024
408	0.2403212783
409	0.2403116273
410	0.2403068705
411	0.2401412927
412	0.2400269059
413	0.2399267726
414	0.2397964349
415	0.2396673844
416	0.2396479026
417	0.2395367187
418	0.239493259
419	0.2393369756
420	0.2391951463
421	0.2390759302
422	0.2390095177
423	0.2389176846
424	0.2388308389
425	0.2387591356
426	0.2387163137
427	0.2385983184
428	0.2384693178
429	0.2383796574
430	0.238303796
431	0.2382146657
432	0.2381312875
433	0.2380226723
434	0.2379653492
435	0.2378524259
436	0.2378475508
437	0.2377612936
438	0.2376788427
439	0.2376070169
440	0.2375182168
441	0.2374516148
442	0.2373445962
443	0.2372818484
444	0.237175354
445	0.2370694075
446	0.2369506501
447	0.236821942
448	0.236738628
449	0.2366387792
450	0.2365732448
451	0.2364927941
452	0.2364800731
453	0.2364110586
454	0.2362755578
455	0.2362480456
456	0.2360974559
457	0.2360936074
458	0.2360895978
459	0.2360397747
460	0.2359617083
461	0.2358779881
462	0.235701504
463	0.235565989
464	0.2354918013
465	0.235437537
466	0.2354323658
467	0.2352964232
468	0.2351846224
469	0.2351265047
470	0.2349845915
471	0.2349206227
472	0.2348434225
473	0.2347820608
474	0.2346922053
475	0.2346381342
476	0.2345281759
477	0.2344327044
478	0.2343401285
479	0.2342583378
480	0.2342282097
481	0.2341469921
482	0.2340732765
483	0.2340552337
484	0.233991622
485	0.2338916653
486	0.2338522241
487	0.2338484762
488	0.2337866315
489	0.2337009301
490	0.233594426
491	0.2335539216
492	0.2334488878
493	0.2333619284
494	0.2333034335
495	0.2332467554
496	0.2331653791
497	0.2331014692
498	0.2330254175
499	0.2329158847
500	0.2328372812
501	0.2327587891
502	0.2327533095
503	0.2326798637
504	0.2325836404
505	0.232580348
506	0.2324799123
507	0.2324304671
508	0.2322867564
509	0.2322036613
510	0.2321118773
511	0.2321084905
512	0.2319866809
513	0.2319111027
514	0.2318198021
515	0.2318166377
516	0.2317839287
517	0.2317008574
518	0.2316528002
519	0.231650109
520	0.2315815459
521	0.2314962015
522	0.2314159585
523	0.2314132695
524	0.2313211132
525	0.2312265413
526	0.2311594929
527	0.2310883681
528	0.2310159087
529	0.2310122915
530	0.2309380052
531	0.2308436053
532	0.2307546203
533	0.2306718698
534	0.2306695227
535	0.2306228019
536	0.2305724213
537	0.2304825448
538	0.2304206225
539	0.2303688915
540	0.2302412722
541	0.2301284123
542	0.2300777751
543	0.2299807716
544	0.2299016743
545	0.2298462988
546	0.2297997663
547	0.2296923864
548	0.2296897578
549	0.2296227371
550	0.2295586678
551	0.2295217764
552	0.2294517714
553	0.2293866598
554	0.2293031045
555	0.2292117302
556	0.2291206153
557	0.2290312191
558	0.2289249207
559	0.2288524246
560	0.2287712768
561	0.2287147454
562	0.2286661403
563	0.2286111063
564	0.2285784974
565	0.2285184669
566	0.2285161868
567	0.2284516639
568	0.2283545389
569	0.2283027647
570	0.2282445722
571	0.2281724183
572	0.2281052459
573	0.2280117504
574	0.227950189
575	0.2278718793
576	0.2277884059
577	0.2277402184
578	0.2276381272
579	0.227577396
580	0.2275114192
581	0.2274644409
582	0.2274396047
583	0.2273946636
584	0.2273614609
585	0.2273595015
586	0.2272592481
587	0.2272084687
588	0.2271845121
589	0.2271823623
590	0.227180297
591	0.2270681363
592	0.2269870954
593	0.2269386895
594	0.226813026
595	0.2267364274
596	0.2266690244
597	0.2265960652
598	0.2265175909
599	0.2264662509
600	0.2263905826
601	0.226388571
602	0.2263559152
603	0.2262991634
604	0.2261870664
605	0.2261303129
606	0.2261283348
607	0.2260653433
608	0.2259708232
609	0.2259318856
610	0.225876957
611	0.2258341374
612	0.2257556244
613	0.2256695676
614	0.2256676389
615	0.2255931894
616	0.2255688493
617	0.2255658528
618	0.2254808847
619	0.2254237266
620	0.2254193659
621	0.2252894367
622	0.2251890979
623	0.2251042308
624	0.2249880034
625	0.224936125
626	0.2248638461
627	0.2247611309
628	0.224759326
629	0.2247417288
630	0.224659358
631	0.2245942642
632	0.224508225
633	0.2243648412
634	0.2242908234
635	0.2242194532
636	0.2242174949
637	0.2241267242
638	0.224094814
639	0.224061196
640	0.2239820861
641	0.2239209171
642	0.2238479326
643	0.2237186911
644	0.223671201
645	0.2236359381
646	0.2236342476
647	0.2236305857
648	0.2235670898
649	0.2235270229
650	0.2234788306
651	0.2234204619
652	0.2233344013
653	0.2232515253
654	0.2231473493
655	0.2231455725
656	0.2230778141
657	0.2230152262
658	0.2230136511
659	0.2229436807
660	0.2228791341
661	0.2228246554
662	0.2227567267
663	0.2226804554
664	0.2226321418
665	0.2225717575
666	0.2224514371
667	0.2224245422
668	0.2223624883
669	0.2222819351
670	0.2221721509
671	0.2221134363
672	0.2220398995
673	0.2219913642
674	0.221928531
675	0.2219058928
676	0.2218483334
677	0.2218466189
678	0.2217929586
679	0.2217643927
680	0.2217085423
681	0.2216329774
682	0.2215556109
683	0.2215367088
684	0.2215132735
685	0.2214640934
686	0.2213855611
687	0.2213547565
688	0.2212940813
689	0.2212493492
690	0.2211770869
691	0.2211052709
692	0.2210671425
693	0.2210309739
694	0.2209891196
695	0.2209264484
696	0.2208584338
697	0.2208295796
698	0.2208090626
699	0.2207209064
700	0.2207194958
701	0.2206922974
702	0.2206572598
703	0.2205969118
704	0.2205426485
705	0.2204836782
706	0.2203653813
707	0.2203087285
708	0.2202460422
709	0.2202361952
710	0.2201348039
711	0.2200294382
712	0.2199964323
713	0.219925607
714	0.2198575737
715	0.2197943484
716	0.2197330404
717	0.2197110076
718	0.2196311226
719	0.2195827226
720	0.2194893438
721	0.2194777724
722	0.2194284114
723	0.2193647097
724	0.2192725862
725	0.2191907219
726	0.2191462316
727	0.2190657886
728	0.2190183136
729	0.2189978096
730	0.2189173216
731	0.2188694979
732	0.2188043118
733	0.2187736213
734	0.2186996319
735	0.2186939537
736	0.2185943245
737	0.2185930373
738	0.2185047005
739	0.2184422201
740	0.2183520456
741	0.2183270826
742	0.2183044599
743	0.2182438501
744	0.2181909986
745	0.2180910972
746	0.2180694263
747	0.2179834211
748	0.2179583516
749	0.2179566807
750	0.2178687826
751	0.2178041737
752	0.2177779124
753	0.2177598822
754	0.2177182497
755	0.217696975
756	0.2176509378
757	0.2176039475
758	0.2175116065
759	0.2174698633
760	0.2173560934
761	0.2172832444
762	0.2172322297
763	0.2171843912
764	0.2171459639
765	0.2170946529
766	0.2170912966
767	0.2170609241
768	0.2169946691
769	0.2169880826
770	0.2168661208
771	0.2168150973
772	0.2167413176
773	0.2166473548
774	0.2166049651
775	0.2165623094
776	0.2164786328
777	0.2164429913
778	0.2163510517
779	0.2163392763
780	0.216337504
781	0.2162958387
782	0.2162770733
783	0.2162402206
784	0.2161848908
785	0.2160675189
786	0.215990537
787	0.215989453
788	0.2158922661
789	0.2158850333
790	0.2157708151
791	0.215691197
792	0.2156897718
793	0.2156841874
794	0.215587299
795	0.2155860573
796	0.2155155319
797	0.2154962727
798	0.2153791877
799	0.2153353002
800	0.2152843426
801	0.2152260814
802	0.2151539086
803	0.2150436167
804	0.2150031779
805	0.2149148686
806	0.2149137751
807	0.214855933
808	0.2148060192
809	0.2147607963
810	0.214739095
811	0.2147374831
812	0.2146764295
813	0.2146197473
814	0.2145315598
815	0.2144691685
816	0.2144001519
817	0.21435772
818	0.2143102372
819	0.214286081
820	0.2142382109
821	0.2141876958
822	0.2141622029
823	0.2141395709
824	0.214091255
825	0.2140271204
826	0.2140252145
827	0.2139837617
828	0.2138987887
829	0.2138969664
830	0.2138958182
831	0.2138336785
832	0.2138326397
833	0.2138235596
834	0.2138160224
835	0.2137821406
836	0.2137190721
837	0.2136777912
838	0.2136241825
839	0.2135496161
840	0.2135042643
841	0.2135031921
842	0.2134292698
843	0.2133800746
844	0.213360462
845	0.21330446
846	0.2132580856
847	0.21325518
848	0.2132203156
849	0.2131693963
850	0.2131345114
851	0.2130936723
852	0.2130411664
853	0.2129875542
854	0.2128663907
855	0.2128459971
856	0.2128015128
857	0.2127835045
858	0.2127218062
859	0.2127147396
860	0.2126970492
861	0.212660741
862	0.212612622
863	0.2125911742
864	0.2125339697
865	0.212482436
866	0.2124746113
867	0.2124277502
868	0.2124202312
869	0.2123578905
870	0.2123463877
871	0.2123033526
872	0.2122511649
873	0.2121930101
874	0.2121297375
875	0.2120675851
876	0.2119417932
877	0.2118836967
878	0.2118362096
879	0.2118353511
880	0.2118108071
881	0.2117810519
882	0.2116902665
883	0.2116467298
884	0.2116114677
885	0.2115274847
886	0.211526907
887	0.2115212834
888	0.2114470129
889	0.2113838126
890	0.2113533039
891	0.2112584345
892	0.211233399
893	0.2112133763
894	0.2111541481
895	0.2110982313
896	0.2110600261
897	0.2110010697
898	0.2109400079
899	0.2108631181
900	0.2108390357
901	0.2108381172
902	0.210778019
903	0.2107672745
904	0.2107196067
905	0.2107069898
906	0.2106351477
907	0.2105850571
908	0.2104997259
909	0.2104354092
910	0.2104071373
911	0.2103548556
912	0.2103232496
913	0.2103222454
914	0.2102792918
915	0.2102137537
916	0.210152912
917	0.2100814343
918	0.2100062298
919	0.2099361603
920	0.209863949
921	0.2098416238
922	0.2098311559
923	0.2097790407
924	0.2096814336
925	0.2096656083
926	0.2096648164
927	0.2096363271
928	0.2096221085
929	0.2096163044
930	0.2094880755
931	0.20948722
932	0.209464097
933	0.2094237437
934	0.2093813287
935	0.2093333441
936	0.2092829669
937	0.2092658633
938	0.2092187891
939	0.2091914379
940	0.2091362019
941	0.2091209422
942	0.2090303703
943	0.2090002663
944	0.2089328147
945	0.2088760513
946	0.2088333508
947	0.2087578152
948	0.2087216721
949	0.20868185
950	0.2086688401
951	0.2085946801
952	0.2085511727
953	0.2085234448
954	0.2084566992
955	0.2083847166
956	0.2083770251
957	0.2083095012
958	0.2083032673
959	0.2081956149
960	0.2081427326
961	0.2081267775
962	0.2080604618
963	0.2080370184
964	0.2080029503
965	0.2079585425
966	0.2078875866
967	0.2078030373
968	0.2077631201
969	0.2076386335
970	0.2076094945
971	0.2075895815
972	0.2075477378
973	0.2074869186
974	0.2074185842
975	0.2073340469
976	0.2072753659
977	0.2072205325
978	0.2071496494
979	0.207116658
980	0.2070629019
981	0.2069897814
982	0.2069451436
983	0.2069404334
984	0.2069359679
985	0.2068932324
986	0.2068701352
987	0.2067967647
988	0.2067311981
989	0.2066930242
990	0.2066457654
991	0.2066028619
992	0.206572953
993	0.2065333683
994	0.2065120038
995	0.206457741
996	0.2063978035
997	0.2063593187
998	0.2062998309
999	0.2062504716
